#Creator: wheelEventBuffer
#Creation time: Wed Apr  5 15:17:47 2017
#Time	Angular velocity
#[s]	[rad/s]
26.944668	3.616097
27.031838	3.590392
27.119610	3.566749
27.207972	3.545175
27.296852	3.523229
27.386370	3.498121
27.476560	3.469073
27.567652	3.431634
27.659858	3.385775
27.753516	3.327253
27.848988	3.257765
27.946686	3.177820
28.046956	3.092058
28.150106	3.002287
28.256390	2.911902
28.365936	2.825072
28.478746	2.744180
28.594736	2.673832
28.713596	2.610901
28.835076	2.559134
28.958950	2.513556
29.084892	2.474747
29.212726	2.439352
29.342410	2.406466
29.473852	2.373772
29.607350	2.336069
29.743260	2.289924
29.882414	2.230674
30.025916	2.155200
30.175428	2.057659
30.333148	1.938321
30.502016	1.797970
30.685824	1.639542
30.890008	1.462294
31.123274	1.264894
31.400964	1.045281
31.758734	0.790748
32.918148	0.250147
33.569608	0.223431
34.845932	0.588441
35.325934	0.780698
35.696568	0.950891
36.005450	1.110535
36.273102	1.258197
36.511636	1.392772
36.728702	1.515394
36.929604	1.623378
37.118438	1.713721
37.298344	1.785889
37.471762	1.842706
37.640440	1.885914
37.805824	1.917172
37.968706	1.940812
38.129662	1.963544
38.288684	1.987142
38.445750	2.012577
38.600708	2.042621
38.753186	2.076372
38.903022	2.116520
39.049970	2.159734
39.193688	2.210832
39.333922	2.269281
39.470444	2.334021
39.603164	2.401315
39.732220	2.469340
39.857854	2.534973
39.980414	2.594428
40.100382	2.646577
40.218248	2.687511
40.334506	2.719570
40.449566	2.742887
40.563798	2.759705
40.677344	2.773348
40.790350	2.787274
40.902740	2.802341
41.014498	2.818785
41.125526	2.840911
41.235586	2.865841
41.344572	2.897720
41.452314	2.934203
41.558554	2.978491
41.663170	3.026757
41.766068	3.080114
41.867168	3.134947
41.966518	3.190276
42.064198	3.244374
42.160338	3.292936
42.255164	3.335803
42.348900	3.369506
42.441788	3.396904
42.534018	3.416557
42.625798	3.431559
42.717172	3.443898
42.808256	3.455413
42.898998	3.467771
42.989408	3.480912
43.079446	3.498744
43.168966	3.517785
43.257938	3.542857
43.346270	3.570722
43.433782	3.607046
43.520384	3.647247
43.606006	3.691475
43.690578	3.737589
43.774124	3.783593
43.856686	3.828503
43.938336	3.868099
44.019208	3.903278
44.099426	3.931414
44.179122	3.953977
44.258418	3.970367
44.337436	3.983355
44.416192	3.993381
44.494786	4.002743
44.573158	4.012969
44.651326	4.024072
44.729250	4.040634
44.806812	4.057647
44.884004	4.080944
44.960762	4.105369
45.036972	4.137376
45.112588	4.171326
45.187554	4.210009
45.261824	4.249645
45.335402	4.290035
45.408308	4.329887
45.480582	4.364536
45.552324	4.395557
45.623616	4.419177
45.694562	4.438908
45.765228	4.452497
45.835716	4.463377
45.906020	4.472400
45.976202	4.481587
46.046218	4.491198
46.116084	4.501107
46.185780	4.515599
46.255220	4.530577
46.324394	4.551054
46.393268	4.572516
46.461738	4.602122
46.529762	4.633617
46.597306	4.669153
46.664328	4.705237
46.730840	4.741597
46.796860	4.777216
46.862418	4.807628
46.927590	4.835005
46.992432	4.856381
47.057016	4.873860
47.121392	4.885988
47.185640	4.895887
47.249742	4.904141
47.313766	4.911655
47.377662	4.920116
47.441444	4.929535
47.505092	4.944276
47.568526	4.958635
47.631750	4.977963
47.694742	4.997761
47.757422	5.024458
47.819764	5.053229
47.881734	5.085952
47.943300	5.119435
48.004460	5.153531
48.065226	5.188256
48.125624	5.215820
48.185748	5.237384
48.245694	5.247006
48.305594	5.245605
48.365582	5.230757
48.425814	5.205104
48.486374	5.170325
48.547404	5.128461
48.608938	5.082167
48.671046	5.034120
48.733724	4.992043
48.796904	4.950977
48.860572	4.915959
48.924710	4.881585
48.989238	4.854280
49.054118	4.828614
