#Creator: wheelEventBuffer
#Creation time: Wed Apr  5 15:17:47 2017
#Time	Angular velocity
#[s]	[rad/s]
28.181214	3.432984
28.273276	3.392868
28.366556	3.345537
28.461250	3.292522
28.557660	3.228703
28.656104	3.156999
28.756932	3.078182
28.860398	2.996902
28.966710	2.915036
29.076038	2.834196
29.188408	2.757912
29.303812	2.686270
29.422202	2.622233
29.543376	2.562515
29.667192	2.510543
29.793604	2.461639
29.922440	2.415532
30.053786	2.368761
30.187810	2.321397
30.324684	2.270593
30.464924	2.213824
30.609104	2.148039
30.758282	2.070079
30.913836	1.977660
31.077830	1.865576
31.253076	1.733790
31.443380	1.585094
31.654012	1.420455
31.893470	1.234806
32.177600	1.022960
32.543520	0.773780
33.662078	0.257238
34.359908	0.222257
35.627256	0.543013
36.146336	0.724116
36.544794	0.888897
36.875122	1.040304
37.160802	1.178843
37.414928	1.309128
37.645388	1.430624
37.857796	1.539031
38.056484	1.632556
38.244746	1.712058
38.425076	1.777623
38.599358	1.832345
38.768904	1.876183
38.934702	1.915395
39.097230	1.951663
39.256918	1.984030
39.414132	2.014771
39.568888	2.044243
39.721308	2.077608
39.871218	2.113899
40.018304	2.156887
40.162334	2.204843
40.303054	2.260171
40.440214	2.320917
40.573722	2.386032
40.703598	2.453909
40.830002	2.519240
40.953282	2.580618
41.073828	2.634371
41.192074	2.682096
41.308358	2.722587
41.423068	2.757718
41.536380	2.787720
41.648572	2.814341
41.759718	2.838857
41.869968	2.860518
41.979396	2.883041
42.087932	2.904525
42.195610	2.929880
42.302356	2.956737
42.407988	2.989829
42.512410	3.026524
42.615498	3.068321
42.717138	3.113139
42.817298	3.160111
42.915966	3.209047
43.013150	3.256819
43.108962	3.302837
43.203526	3.343258
43.297006	3.380019
43.389548	3.410178
43.481350	3.436740
43.572458	3.459066
43.663034	3.479524
43.753068	3.498667
43.842636	3.516288
43.931758	3.535600
44.020370	3.553597
44.108514	3.574053
44.196182	3.594088
44.283250	3.620431
44.369666	3.649535
44.455342	3.683684
44.540184	3.721384
44.624150	3.761305
44.707226	3.803105
44.789410	3.842457
44.870790	3.880234
44.951428	3.912515
45.031436	3.942366
45.110876	3.966858
45.189876	3.989020
45.268428	4.008565
45.346648	4.026134
45.424512	4.042505
45.502084	4.057123
45.579380	4.073853
45.656338	4.088699
45.732990	4.107409
45.809314	4.126074
45.885224	4.149399
45.960692	4.175318
46.035668	4.205050
46.110086	4.237150
46.183926	4.271370
46.257174	4.307800
46.329816	4.341855
46.401906	4.375233
46.473484	4.403814
46.544624	4.429770
46.615376	4.450857
46.685828	4.469600
46.755970	4.486836
46.825876	4.502913
46.895520	4.518067
46.964948	4.531623
47.034170	4.547760
47.103134	4.561097
47.171884	4.577446
47.240410	4.592837
47.308640	4.614289
47.376540	4.638132
47.444076	4.665408
47.511194	4.695111
47.577874	4.728039
47.644098	4.759124
47.709912	4.789013
47.775318	4.818985
47.840346	4.843951
47.905054	4.866763
