#Creator: wheelEventBuffer
#Creation time: Wed Apr  5 15:17:47 2017
#Time	Angular velocity
#[s]	[rad/s]
19.055986	4.251140
19.130350	4.198755
19.205692	4.142286
19.282068	4.085934
19.359554	4.024072
19.438292	3.959359
19.518380	3.888110
19.600052	3.809284
19.683536	3.720767
19.769124	3.625277
19.857076	3.522360
19.947668	3.417003
20.041110	3.310843
20.137574	3.205118
20.237252	3.101888
20.340174	3.003894
20.446538	2.906890
20.556486	2.810363
20.670154	2.719899
20.787634	2.629740
20.909240	2.541125
21.035218	2.450540
21.166152	2.353641
21.302830	2.250489
21.446400	2.134930
21.598648	2.005050
21.762286	1.852813
21.942064	1.669994
22.146728	1.444570
22.396182	1.156051
22.783572	0.716398
23.409148	0.361927
24.036502	0.611671
24.489156	0.995063
24.777778	1.255482
25.012282	1.466253
25.216194	1.642079
25.400112	1.792799
25.569920	1.921604
25.729164	2.033946
25.880248	2.132090
26.024738	2.222311
26.163674	2.304302
26.297856	2.382521
26.427694	2.458249
26.553710	2.530971
26.676120	2.603976
26.795140	2.677479
26.910880	2.751246
27.023498	2.830162
27.132916	2.913144
27.239232	2.998848
27.342530	3.086286
27.442932	3.174095
27.540652	3.258981
27.635890	3.340982
27.728910	3.417375
27.819936	3.487713
27.909226	3.552150
27.996942	3.612936
28.083276	3.666744
28.168358	3.719710
28.252284	3.767711
28.335162	3.815576
28.416958	3.864578
28.497796	3.909496
28.577670	3.957463
28.656564	4.007236
28.734464	4.056599
28.811402	4.111494
28.887282	4.168559
28.962126	4.226889
29.035920	4.288044
29.108654	4.351236
29.180370	4.411854
29.251106	4.471254
29.320958	4.526138
29.389988	4.577179
29.458296	4.623253
29.525926	4.668043
29.592948	4.707493
29.659404	4.748334
29.725314	4.784783
29.790734	4.821500
29.855614	4.860588
29.920030	4.895124
29.983962	4.932786
30.047406	4.971504
30.110348	5.008757
30.172810	5.051767
30.234720	5.096348
30.296094	5.141555
30.356914	5.189284
30.417166	5.238956
30.476880	5.285140
30.536064	5.330696
30.594778	5.372815
30.653034	5.412806
30.710890	5.449045
30.768356	5.484816
30.825472	5.516405
30.882246	5.551302
30.938690	5.580688
30.994838	5.611390
31.050642	5.645270
31.106158	5.674022
31.161364	5.707213
31.216252	5.741005
31.270806	5.773501
31.325044	5.812167
31.378910	5.852009
31.432410	5.892180
31.485538	5.934251
31.538278	5.979430
31.590644	6.020453
31.642648	6.061340
31.694324	6.099469
31.745682	6.134246
31.796776	6.165547
31.847592	6.198391
31.898166	6.225660
31.948504	6.257405
31.998604	6.283688
32.048502	6.310446
32.098150	6.341783
32.147598	6.366459
32.196830	6.396011
32.245836	6.426102
32.294600	6.455151
32.343146	6.489821
32.391414	6.526222
32.439422	6.561936
32.487160	6.600262
32.534610	6.640722
32.581798	6.676285
32.628724	6.712805
32.675416	6.745379
32.721880	6.776808
32.768152	6.804403
32.814222	6.833709
32.860110	6.858175
32.905822	6.887947
32.951354	6.911283
32.996734	6.936921
33.041914	6.966146
33.086942	6.989705
33.131796	7.018123
33.176476	7.046142
33.220968	7.072473
33.265294	7.103818
33.309416	7.136415
33.353342	7.167350
33.397074	7.200863
33.440588	7.237692
33.483904	7.269513
33.527022	7.301614
33.569966	7.331263
33.612734	7.359083
