#Creator: wheelEventBuffer
#Creation time: Wed Apr  5 15:17:47 2017
#Time	Angular velocity
#[s]	[rad/s]
19.731898	3.916221
19.812166	3.910956
19.892540	3.906093
19.973026	3.901340
20.053618	3.894762
20.134352	3.888591
20.215232	3.879946
20.296308	3.870577
20.377596	3.858502
20.459156	3.846597
20.540940	3.834577
20.623000	3.823191
20.705276	3.812612
20.787786	3.801908
20.870526	3.793736
20.953436	3.783319
21.036562	3.774955
21.119926	3.763648
21.203486	3.754832
21.287260	3.745163
21.371242	3.736699
21.455386	3.729425
21.539690	3.723413
21.624134	3.717949
21.708708	3.710922
21.793458	3.703835
21.878418	3.692429
21.963664	3.679197
22.049214	3.664092
22.135118	3.651147
22.221292	3.638545
22.307784	3.626868
22.394528	3.615847
22.481546	3.604066
22.568858	3.594417
22.656386	3.582367
22.744192	3.573077
22.832270	3.561735
22.920558	3.553999
23.009050	3.545816
23.097744	3.538866
23.186596	3.531864
23.275620	3.525839
23.364794	3.520702
23.454110	3.513771
23.543606	3.507573
23.633288	3.498744
23.723218	3.488875
23.813424	3.476059
23.903992	3.462955
23.994872	3.449267
24.086122	3.437266
24.177660	3.425797
24.269516	3.413958
24.361688	3.404782
24.454094	3.393382
24.546806	3.383514
24.639850	3.370880
24.733168	3.361214
24.826774	3.350961
24.920676	3.340982
25.014848	3.330499
25.109312	3.320571
25.204072	3.310983
25.299106	3.300062
25.394472	3.289350
25.490198	3.275017
25.586366	3.259116
25.682960	3.244039
25.780020	3.230895
25.877442	3.217197
25.975308	3.203941
26.073540	3.191573
26.172178	3.178077
26.271238	3.166481
26.370634	3.153450
26.470418	3.142976
26.570592	3.130573
26.671080	3.121056
26.771890	3.111289
26.872994	3.103421
26.974336	3.096080
27.075906	3.089564
27.177682	3.084287
27.279638	3.078242
27.381810	3.072042
27.484240	3.062698
27.587016	3.051571
27.690194	3.037938
27.793888	3.022797
27.898060	3.007518
28.002768	2.993647
28.107930	2.980469
28.213572	2.966901
28.319694	2.955458
28.426224	2.941511
28.533262	2.928514
28.640824	2.913900
28.748828	2.902647
28.857242	2.892332
28.966008	2.884365
29.075052	2.877180
29.184360	2.870765
29.293894	2.865737
29.403648	2.859268
29.513678	2.851742
29.624046	2.841579
29.734850	2.829958
29.846138	2.815653
29.958042	2.800593
30.070520	2.784507
30.183672	2.769045
30.297430	2.753899
30.411824	2.738153
30.526878	2.724475
30.642480	2.709578
30.758698	2.696507
30.875542	2.682004
30.992928	2.669788
31.110860	2.657682
31.229306	2.647068
31.348180	2.637777
31.467446	2.630092
31.587034	2.623941
31.706908	2.617558
31.827116	2.610250
31.947728	2.599666
32.068884	2.587334
32.190676	2.571619
32.313276	2.554556
32.436656	2.537103
32.560886	2.521019
32.685874	2.505657
32.811660	2.489337
32.938294	2.473890
33.065712	2.456557
33.194016	2.440337
33.323228	2.423208
33.453216	2.409382
33.583914	2.397321
33.715224	2.387628
33.847020	2.379273
33.979276	2.371300
