#Creator: pendulumSimpleEventBuffer
#Creation time: Wed Mar  1 17:42:31 2017
#Id	Edge	Time
#[]	[b]	[s]
0	0	0.349648
1	1	0.373624
2	0	1.413008
3	1	1.437024
4	0	2.471224
5	1	2.495328
6	0	3.534532
7	1	3.558672
8	0	4.592784
9	1	4.617008
10	0	5.656176
11	1	5.680440
12	0	6.714336
13	1	6.738680
14	0	7.777592
15	1	7.801984
16	0	8.835768
17	1	8.860236
18	0	9.899028
19	1	9.923524
20	0	10.956972
21	1	10.981564
22	0	12.020476
23	1	12.045100
24	0	13.078220
25	1	13.102924
26	0	14.141808
27	1	14.166552
28	0	15.199436
29	1	15.224268
30	0	16.263028
31	1	16.287900
32	0	17.320624
33	1	17.345568
34	0	18.384196
35	1	18.409188
36	0	19.441752
37	1	19.466828
38	0	20.505280
39	1	20.530384
40	0	21.562800
41	1	21.588000
42	0	22.626296
43	1	22.651532
44	0	23.683940
45	1	23.709244
46	0	24.747308
47	1	24.772656
48	0	25.804744
49	1	25.830168
50	0	26.868152
51	1	26.893628
52	0	27.925552
53	1	27.951108
54	0	28.988888
55	1	29.014492
56	0	30.046320
57	1	30.072012
58	0	31.109592
59	1	31.135324
60	0	32.167052
61	1	32.192864
62	0	33.230312
63	1	33.256164
64	0	34.287720
65	1	34.313660
66	0	35.350900
67	1	35.376892
68	0	36.408224
69	1	36.434296
70	0	37.471464
71	1	37.497584
72	0	38.528724
73	1	38.554920
74	0	39.591900
75	1	39.618160
76	0	40.649172
77	1	40.675504
78	0	41.712264
79	1	41.738648
80	0	42.769516
81	1	42.795984
82	0	43.832616
83	1	43.859128
84	0	44.889740
85	1	44.916340
86	0	45.952932
87	1	45.979584
88	0	47.009840
89	1	47.036564
90	0	48.073224
91	1	48.099996
92	0	49.130032
93	1	49.156892
94	0	50.193292
95	1	50.220204
96	0	51.250188
97	1	51.277164
98	0	52.313380
99	1	52.340412
100	0	53.370240
101	1	53.397356
102	0	54.433424
103	1	54.460580
104	0	55.490268
105	1	55.517512
106	0	56.553420
107	1	56.580716
108	0	57.610204
109	1	57.637576
110	0	58.673340
111	1	58.700772
112	0	59.729988
113	1	59.757500
114	0	60.793188
115	1	60.820752
116	0	61.849784
117	1	61.877440
118	0	62.913016
119	1	62.940668
120	0	63.969540
121	1	63.997320
122	0	65.032884
123	1	65.060712
124	0	66.089188
125	1	66.117116
126	0	67.152496
127	1	67.180476
128	0	68.208852
129	1	68.236908
130	0	69.272108
131	1	69.300216
132	0	70.328420
133	1	70.356616
134	0	71.391664
135	1	71.419916
136	0	72.448024
137	1	72.476348
138	0	73.511152
139	1	73.539540
140	0	74.567452
141	1	74.595932
142	0	75.630616
143	1	75.659136
144	0	76.686876
145	1	76.715476
146	0	77.749964
147	1	77.778620
148	0	78.806220
149	1	78.834960
150	0	79.869268
151	1	79.898064
152	0	80.925520
153	1	80.954400
154	0	81.988556
155	1	82.017500
156	0	83.044840
157	1	83.073868
158	0	84.107816
159	1	84.136900
160	0	85.164100
161	1	85.193276
162	0	86.227004
163	1	86.256244
164	0	87.283268
165	1	87.312576
166	0	88.346200
167	1	88.375580
168	0	89.402388
169	1	89.431840
170	0	90.465352
171	1	90.494876
172	0	91.521432
173	1	91.551032
174	0	92.584440
175	1	92.614096
176	0	93.640436
177	1	93.670188
178	0	94.703420
179	1	94.733232
180	0	95.759412
181	1	95.789304
182	0	96.822404
183	1	96.852364
184	0	97.878304
185	1	97.908348
186	0	98.941324
187	1	98.971432
188	0	99.997164
189	1	100.027364
190	0	101.060324
191	1	101.090556
192	0	102.115936
193	1	102.146268
194	0	103.179132
195	1	103.209532
196	0	104.234684
197	1	104.265180
198	0	105.297864
199	1	105.328424
200	0	106.353388
201	1	106.384032
202	0	107.416512
203	1	107.447216
204	0	108.472084
205	1	108.502868
206	0	109.535280
207	1	109.566136
208	0	110.590756
209	1	110.621692
210	0	111.653936
211	1	111.684932
212	0	112.709436
213	1	112.740532
214	0	113.772504
215	1	113.803664
216	0	114.828004
217	1	114.859264
218	0	115.891108
219	1	115.922416
220	0	116.946604
221	1	116.978000
222	0	118.009632
223	1	118.041092
224	0	119.065212
225	1	119.096764
226	0	120.128136
227	1	120.159744
228	0	121.183736
229	1	121.215448
230	0	122.246624
231	1	122.278392
232	0	123.302164
233	1	123.334028
234	0	124.365072
235	1	124.396996
236	0	125.420492
237	1	125.452508
238	0	126.483508
239	1	126.515588
240	0	127.538820
241	1	127.571000
242	0	128.601776
243	1	128.634016
244	0	129.657072
245	1	129.689404
246	0	130.719924
247	1	130.752308
248	0	131.775196
249	1	131.807700
250	0	132.837936
251	1	132.870504
252	0	133.893296
253	1	133.925972
254	0	134.955960
255	1	134.988704
256	0	136.011332
257	1	136.044180
258	0	137.074012
259	1	137.106928
260	0	138.129436
261	1	138.162468
262	0	139.192128
263	1	139.225216
264	0	140.247452
265	1	140.280652
266	0	141.310220
267	1	141.343468
268	0	142.365432
269	1	142.398808
270	0	143.428268
271	1	143.461688
272	0	144.483404
273	1	144.516936
274	0	145.546096
275	1	145.579684
276	0	146.601300
277	1	146.635004
