#Creator: pendulumSimpleEventBuffer
#Creation time: Wed Mar  1 17:42:31 2017
#Id	Edge	Time
#[]	[b]	[s]
0	0	0.277404
1	1	0.414208
2	0	1.351092
3	1	1.488056
4	0	2.388840
5	1	2.526348
6	0	3.461672
7	1	3.599628
8	0	4.500444
9	1	4.638608
10	0	5.573452
11	1	5.711948
12	0	6.610924
13	1	6.749828
14	0	7.684804
15	1	7.823932
16	0	8.721860
17	1	8.861412
18	0	9.795584
19	1	9.935248
20	0	10.832684
21	1	10.972824
22	0	11.906736
23	1	12.047132
24	0	12.944400
25	1	13.085208
26	0	14.018480
27	1	14.159608
28	0	15.054332
29	1	15.195896
30	0	16.129232
31	1	16.271100
32	0	17.165416
33	1	17.307692
34	0	18.240292
35	1	18.382920
36	0	19.276192
37	1	19.419660
38	0	20.350764
39	1	20.494320
40	0	21.387132
41	1	21.531044
42	0	22.460832
43	1	22.604684
44	0	23.498512
45	1	23.642920
46	0	24.572320
47	1	24.716928
48	0	25.609536
49	1	25.754496
50	0	26.683416
51	1	26.828720
52	0	27.720476
53	1	27.866124
54	0	28.793880
55	1	28.940308
56	0	29.831296
57	1	29.978008
58	0	30.904592
59	1	31.051592
60	0	31.941632
61	1	32.089120
62	0	33.015524
63	1	33.163440
64	0	34.052048
65	1	34.200496
66	0	35.126008
67	1	35.274940
68	0	36.162488
69	1	36.311804
70	0	37.236412
71	1	37.386108
72	0	38.273280
73	1	38.423484
74	0	39.347712
75	1	39.498300
76	0	40.383896
77	1	40.534852
78	0	41.458352
79	1	41.609616
80	0	42.494668
81	1	42.646644
82	0	43.568564
83	1	43.721028
84	0	44.605020
85	1	44.757884
86	0	45.678596
87	1	45.831880
88	0	46.714976
89	1	46.868772
90	0	47.788668
91	1	47.942796
92	0	48.825080
93	1	48.979824
94	0	49.898712
95	1	50.053900
96	0	50.935472
97	1	51.091220
98	0	52.009200
99	1	52.165300
100	0	53.045924
101	1	53.202436
102	0	54.119888
103	1	54.276744
104	0	55.156872
105	1	55.314264
106	0	56.230404
107	1	56.388172
108	0	57.267336
109	1	57.425528
110	0	58.341056
