#Creator: pendulumSimpleEventBuffer
#Creation time: Wed Mar  1 18:45:30 2017
#Id	Edge	Time
#[]	[b]	[s]
0	0	0.725628
1	1	0.738552
2	0	1.794684
3	1	1.807652
4	0	2.866424
5	1	2.879412
6	0	3.935320
7	1	3.948352
8	0	5.006888
9	1	5.019948
10	0	6.075632
11	1	6.088736
12	0	7.147096
13	1	7.160228
14	0	8.215724
15	1	8.228900
16	0	9.287104
17	1	9.300308
18	0	10.355528
19	1	10.368776
20	0	11.426784
21	1	11.440052
22	0	12.495060
23	1	12.508368
24	0	13.566140
25	1	13.579488
26	0	14.634248
27	1	14.647632
28	0	15.705248
29	1	15.718660
30	0	16.773188
31	1	16.786644
32	0	17.844036
33	1	17.857520
34	0	18.911864
35	1	18.925392
36	0	19.982520
37	1	19.996076
38	0	21.050260
39	1	21.063860
40	0	22.120748
41	1	22.134380
42	0	23.188372
43	1	23.202048
44	0	24.258780
45	1	24.272484
46	0	25.326220
47	1	25.339968
48	0	26.396520
49	1	26.410292
50	0	27.463820
51	1	27.477640
52	0	28.534020
53	1	28.547872
54	0	29.601212
55	1	29.615108
56	0	30.671216
57	1	30.685132
58	0	31.738260
59	1	31.752224
60	0	32.808128
61	1	32.822124
62	0	33.875000
63	1	33.889044
64	0	34.944812
65	1	34.958884
66	0	36.011584
67	1	36.025700
68	0	37.081260
69	1	37.095404
70	0	38.147968
71	1	38.162160
72	0	39.217508
73	1	39.231728
74	0	40.284116
75	1	40.298380
76	0	41.353528
77	1	41.367820
78	0	42.420020
79	1	42.434368
80	0	43.489384
81	1	43.503756
82	0	44.555700
83	1	44.570120
84	0	45.625012
85	1	45.639452
86	0	46.691176
87	1	46.705668
88	0	47.760380
89	1	47.774900
90	0	48.826408
91	1	48.840976
92	0	49.895476
93	1	49.910076
94	0	50.961428
95	1	50.976068
96	0	52.030344
97	1	52.045008
98	0	53.096200
99	1	53.110912
100	0	54.164968
101	1	54.179708
102	0	55.230712
103	1	55.245504
104	0	56.299260
105	1	56.314084
106	0	57.364848
107	1	57.379720
108	0	58.433432
109	1	58.448332
110	0	59.498896
111	1	59.513852
112	0	60.567456
113	1	60.582432
114	0	61.632772
115	1	61.647808
116	0	62.701204
117	1	62.716260
118	0	63.766452
119	1	63.781560
120	0	64.834816
121	1	64.849948
122	0	65.899992
123	1	65.915180
124	0	66.968140
125	1	66.983352
126	0	68.033284
127	1	68.048544
128	0	69.101420
129	1	69.116712
130	0	70.166356
131	1	70.181704
132	0	71.234360
133	1	71.249732
134	0	72.299164
135	1	72.314588
136	0	73.367044
137	1	73.382500
138	0	74.431728
139	1	74.447240
140	0	75.499532
141	1	75.515072
142	0	76.564124
143	1	76.579712
144	0	77.631824
145	1	77.647440
146	0	78.696348
147	1	78.712024
148	0	79.764008
149	1	79.779708
150	0	80.828432
151	1	80.844184
152	0	81.896044
153	1	81.911828
154	0	82.960404
155	1	82.976240
156	0	84.027860
157	1	84.043724
158	0	85.092120
159	1	85.108040
160	0	86.159488
161	1	86.175428
162	0	87.223700
163	1	87.239700
164	0	88.291012
165	1	88.307044
166	0	89.355084
167	1	89.371168
168	0	90.422324
169	1	90.438436
170	0	91.486280
171	1	91.502444
172	0	92.553468
173	1	92.569660
174	0	93.617252
175	1	93.633492
176	0	94.684360
177	1	94.700628
178	0	95.748084
179	1	95.764408
180	0	96.815060
181	1	96.831416
182	0	97.878732
183	1	97.895144
184	0	98.945504
185	1	98.961956
186	0	100.008960
187	1	100.025464
188	0	101.075672
189	1	101.092204
190	0	102.139104
191	1	102.155692
192	0	103.205724
193	1	103.222348
194	0	104.269068
195	1	104.285748
196	0	105.335584
197	1	105.352292
198	0	106.398816
199	1	106.415588
200	0	107.465320
201	1	107.482116
202	0	108.528392
203	1	108.545248
204	0	109.594944
205	1	109.611828
206	0	110.657944
207	1	110.674892
208	0	111.724440
209	1	111.741412
210	0	112.787428
211	1	112.804456
212	0	113.853880
213	1	113.870940
214	0	114.916760
215	1	114.933872
216	0	115.983188
217	1	116.000328
218	0	117.045912
219	1	117.063112
220	0	118.112328
221	1	118.129556
222	0	119.174960
223	1	119.192240
224	0	120.241320
225	1	120.258636
226	0	121.303836
227	1	121.321208
228	0	122.370076
229	1	122.387476
230	0	123.432528
231	1	123.449992
232	0	124.498724
233	1	124.516208
234	0	125.561108
235	1	125.578652
236	0	126.627252
237	1	126.644828
238	0	127.689544
239	1	127.707176
240	0	128.755612
241	1	128.773276
242	0	129.817820
243	1	129.835540
244	0	130.883832
245	1	130.901580
246	0	131.945932
247	1	131.963740
248	0	133.011908
249	1	133.029748
250	0	134.073916
251	1	134.091808
252	0	135.139820
253	1	135.157744
254	0	136.201784
255	1	136.219760
256	0	137.267572
257	1	137.285592
258	0	138.329532
259	1	138.347600
260	0	139.395232
261	1	139.413336
262	0	140.457032
263	1	140.475196
264	0	141.522672
265	1	141.540872
266	0	142.584304
267	1	142.602568
268	0	143.649984
269	1	143.668272
270	0	144.711572
271	1	144.729920
272	0	145.777160
273	1	145.795544
274	0	146.838636
275	1	146.857080
276	0	147.904088
277	1	147.922572
278	0	148.965580
279	1	148.984124
280	0	150.030944
281	1	150.049516
282	0	151.092268
283	1	151.110904
284	0	152.157624
285	1	152.176300
286	0	153.218844
287	1	153.237584
288	0	154.284196
289	1	154.302968
290	0	155.345432
291	1	155.364260
292	0	156.410796
293	1	156.429660
294	0	157.471892
295	1	157.490816
