#Creator: pendulumSimpleEventBuffer
#Creation time: Wed Mar  1 17:42:31 2017
#Id	Edge	Time
#[]	[b]	[s]
0	0	0.491016
1	1	0.523264
2	0	1.551952
3	1	1.584268
4	0	2.609168
5	1	2.641576
6	0	3.670048
7	1	3.702520
8	0	4.727236
9	1	4.759808
10	0	5.788124
11	1	5.820752
12	0	6.845268
13	1	6.878000
14	0	7.906164
15	1	7.938952
16	0	8.963232
17	1	8.996124
18	0	10.024156
19	1	10.057116
20	0	11.081180
21	1	11.114248
22	0	12.142060
23	1	12.175196
24	0	13.199124
25	1	13.232348
26	0	14.259980
27	1	14.293276
28	0	15.316964
29	1	15.350360
30	0	16.377796
31	1	16.411252
32	0	17.434824
33	1	17.468376
34	0	18.495612
35	1	18.529232
36	0	19.552648
37	1	19.586364
38	0	20.613404
39	1	20.647200
40	0	21.670348
41	1	21.704240
42	0	22.731144
43	1	22.765120
44	0	23.788072
45	1	23.822132
46	0	24.848836
47	1	24.882956
48	0	25.905692
49	1	25.939940
50	0	26.966464
51	1	27.000772
52	0	28.023220
53	1	28.057620
54	0	29.084012
55	1	29.118492
56	0	30.140784
57	1	30.175372
58	0	31.201472
59	1	31.236128
60	0	32.258236
61	1	32.293024
62	0	33.318836
63	1	33.353672
64	0	34.375540
65	1	34.410484
66	0	35.436196
67	1	35.471204
68	0	36.492820
69	1	36.527944
70	0	37.553484
71	1	37.588680
72	0	38.610068
73	1	38.645368
74	0	39.670768
75	1	39.706132
76	0	40.727276
77	1	40.762752
78	0	41.788036
79	1	41.823568
80	0	42.844568
81	1	42.880232
82	0	43.905176
83	1	43.940900
84	0	44.961772
85	1	44.997600
86	0	46.022396
87	1	46.058296
88	0	47.078952
89	1	47.114976
90	0	48.139556
91	1	48.175656
92	0	49.196112
93	1	49.232300
94	0	50.256688
95	1	50.292948
96	0	51.313156
97	1	51.349536
98	0	52.373924
99	1	52.410376
100	0	53.430360
101	1	53.466920
102	0	54.490884
103	1	54.527520
104	0	55.547444
105	1	55.584180
106	0	56.607868
107	1	56.644696
108	0	57.664460
109	1	57.701392
110	0	58.724828
111	1	58.761832
112	0	59.781460
113	1	59.818584
114	0	60.841800
115	1	60.878996
116	0	61.898376
117	1	61.935680
118	0	62.958728
119	1	62.996108
120	0	64.015264
121	1	64.052756
122	0	65.075552
123	1	65.113120
124	0	66.132068
125	1	66.169760
126	0	67.192308
127	1	67.230052
128	0	68.248796
129	1	68.286668
130	0	69.308876
131	1	69.346816
132	0	70.365360
133	1	70.403432
134	0	71.425368
135	1	71.463476
136	0	72.481860
137	1	72.520096
138	0	73.541824
139	1	73.580128
140	0	74.598452
141	1	74.636880
142	0	75.658028
143	1	75.696564
144	0	76.714796
145	1	76.753420
146	0	77.774572
147	1	77.813264
148	0	78.831176
149	1	78.869976
150	0	79.890908
151	1	79.929784
152	0	80.947560
153	1	80.986572
154	0	82.007304
155	1	82.046392
156	0	83.063972
157	1	83.103164
158	0	84.123728
159	1	84.162992
160	0	85.180268
161	1	85.219656
162	0	86.240140
163	1	86.279588
164	0	87.296692
165	1	87.336280
166	0	88.356464
167	1	88.396128
168	0	89.412932
169	1	89.452712
170	0	90.472756
171	1	90.512616
172	0	91.529164
173	1	91.569140
174	0	92.588976
175	1	92.629036
176	0	93.645388
177	1	93.685560
178	0	94.705148
179	1	94.745396
180	0	95.761576
181	1	95.801964
182	0	96.821044
183	1	96.861532
184	0	97.877564
185	1	97.918212
186	0	98.937028
187	1	98.977764
188	0	99.993544
189	1	100.034400
190	0	101.053136
191	1	101.094068
192	0	102.109548
193	1	102.150632
194	0	103.169200
195	1	103.210352
196	0	104.225708
197	1	104.267000
198	0	105.285392
199	1	105.326744
200	0	106.341684
201	1	106.383184
202	0	107.401364
