#Creator: pendulumSimpleEventBuffer
#Creation time: Wed Mar  1 17:42:31 2017
#Id	Edge	Time
#[]	[b]	[s]
0	0	0.603792
1	1	0.633672
2	0	1.659836
3	1	1.689808
4	0	2.722744
5	1	2.752784
6	0	3.778700
7	1	3.808824
8	0	4.841596
9	1	4.871776
10	0	5.897476
11	1	5.927748
12	0	6.960388
13	1	6.990724
14	0	8.016140
15	1	8.046556
16	0	9.079048
17	1	9.109520
18	0	10.134960
19	1	10.165532
20	0	11.197748
21	1	11.228380
22	0	12.253608
23	1	12.284328
24	0	13.316356
25	1	13.347132
26	0	14.372176
27	1	14.403052
28	0	15.434840
29	1	15.465784
30	0	16.490664
31	1	16.521724
32	0	17.553104
33	1	17.584224
34	0	18.609140
35	1	18.640360
36	0	19.671668
37	1	19.702968
38	0	20.727500
39	1	20.758908
40	0	21.790136
41	1	21.821600
42	0	22.845868
43	1	22.877440
44	0	23.908560
45	1	23.940200
46	0	24.964064
47	1	24.995796
48	0	26.026892
49	1	26.058684
50	0	27.082296
51	1	27.114208
52	0	28.145216
53	1	28.177180
54	0	29.200572
55	1	29.232652
56	0	30.263472
57	1	30.295600
58	0	31.318656
59	1	31.350904
60	0	32.381616
61	1	32.413924
62	0	33.436788
63	1	33.469200
64	0	34.499784
65	1	34.532252
66	0	35.554832
67	1	35.587412
68	0	36.617888
69	1	36.650524
70	0	37.672956
71	1	37.705708
72	0	38.735980
73	1	38.768772
74	0	39.791004
75	1	39.823920
76	0	40.853896
77	1	40.886852
78	0	41.908952
79	1	41.942048
80	0	42.971900
81	1	43.005044
82	0	44.027004
83	1	44.060272
84	0	45.089808
85	1	45.123140
86	0	46.145044
87	1	46.178500
88	0	47.207608
89	1	47.241116
90	0	48.262936
91	1	48.296580
92	0	49.325268
93	1	49.358980
94	0	50.380644
95	1	50.414484
96	0	51.443024
97	1	51.476932
98	0	52.498312
99	1	52.532340
100	0	53.560604
101	1	53.594692
102	0	54.615984
103	1	54.650192
104	0	55.678336
105	1	55.712608
106	0	56.733600
107	1	56.767992
108	0	57.796032
109	1	57.830492
110	0	58.851288
111	1	58.885868
112	0	59.913656
113	1	59.948308
114	0	60.968772
115	1	61.003544
116	0	62.031296
117	1	62.066140
118	0	63.086132
119	1	63.121096
120	0	64.148852
121	1	64.183860
122	0	65.203564
123	1	65.238708
124	0	66.266056
125	1	66.301288
126	0	67.320948
127	1	67.356300
