#Creator: pendulumSimpleEventBuffer
#Creation time: Wed Mar  1 18:45:30 2017
#Id	Edge	Time
#[]	[b]	[s]
0	0	0.754036
1	1	0.765612
2	0	1.829432
3	1	1.841032
4	0	2.901824
5	1	2.913460
6	0	3.977048
7	1	3.988712
8	0	5.049216
9	1	5.060924
10	0	6.124252
11	1	6.135976
12	0	7.196196
13	1	7.207968
14	0	8.271048
15	1	8.282844
16	0	9.342788
17	1	9.354628
18	0	10.417456
19	1	10.429312
20	0	11.488996
21	1	11.500896
22	0	12.563484
23	1	12.575412
24	0	13.634860
25	1	13.646828
26	0	14.709156
27	1	14.721152
28	0	15.780344
29	1	15.792380
30	0	16.854468
31	1	16.866528
32	0	17.925464
33	1	17.937568
34	0	18.999432
35	1	19.011556
36	0	20.070216
37	1	20.082388
38	0	21.144036
39	1	21.156228
40	0	22.214644
41	1	22.226880
42	0	23.288300
43	1	23.300564
44	0	24.358708
45	1	24.371012
46	0	25.432200
47	1	25.444532
48	0	26.502416
49	1	26.514788
50	0	27.575760
51	1	27.588156
52	0	28.645796
53	1	28.658240
54	0	29.718996
55	1	29.731468
56	0	30.788916
57	1	30.801424
58	0	31.861860
59	1	31.874392
60	0	32.931644
61	1	32.944224
62	0	34.004452
63	1	34.017052
64	0	35.074076
65	1	35.086716
66	0	36.146712
67	1	36.159384
68	0	37.216176
69	1	37.228888
70	0	38.288664
71	1	38.301404
72	0	39.357956
73	1	39.370736
74	0	40.430288
75	1	40.443100
76	0	41.499432
77	1	41.512284
78	0	42.571616
79	1	42.584496
80	0	43.640604
81	1	43.653524
82	0	44.712648
83	1	44.725600
84	0	45.781484
85	1	45.794476
86	0	46.853396
87	1	46.866416
88	0	47.922084
89	1	47.935144
90	0	48.993860
91	1	49.006948
92	0	50.062376
93	1	50.075504
94	0	51.134016
95	1	51.147176
96	0	52.202396
97	1	52.215596
98	0	53.273900
99	1	53.287128
100	0	54.342124
101	1	54.355396
102	0	55.413496
103	1	55.426796
104	0	56.481592
105	1	56.494932
106	0	57.552840
107	1	57.566212
108	0	58.620808
109	1	58.634224
110	0	59.691920
111	1	59.705360
112	0	60.759752
113	1	60.773240
114	0	61.830740
115	1	61.844260
116	0	62.898440
117	1	62.911992
118	0	63.969280
119	1	63.982864
120	0	65.036832
121	1	65.050464
122	0	66.107524
123	1	66.121180
124	0	67.174944
125	1	67.188644
126	0	68.245496
127	1	68.259224
128	0	69.312796
129	1	69.326572
130	0	70.383204
131	1	70.397008
132	0	71.450360
133	1	71.464208
134	0	72.520592
135	1	72.534472
136	0	73.587620
137	1	73.601544
138	0	74.657812
139	1	74.671760
140	0	75.724668
141	1	75.738664
142	0	76.794788
143	1	76.808816
144	0	77.861464
145	1	77.875532
146	0	78.931520
147	1	78.945620
148	0	79.998104
149	1	80.012244
150	0	81.067996
151	1	81.082168
152	0	82.134524
153	1	82.148744
154	0	83.204224
155	1	83.218468
156	0	84.270616
157	1	84.284908
158	0	85.340256
159	1	85.354576
160	0	86.406536
161	1	86.420908
162	0	87.476112
163	1	87.490504
164	0	88.542244
165	1	88.556688
166	0	89.611680
167	1	89.626152
168	0	90.677704
169	1	90.692220
170	0	91.746956
171	1	91.761500
172	0	92.812876
173	1	92.827468
174	0	93.882044
175	1	93.896664
176	0	94.947808
177	1	94.962476
178	0	96.016904
179	1	96.031600
180	0	97.082540
181	1	97.097280
182	0	98.151536
183	1	98.166308
184	0	99.217068
185	1	99.231884
186	0	100.285936
187	1	100.300780
188	0	101.351368
189	1	101.366260
190	0	102.420160
191	1	102.435080
192	0	103.485500
193	1	103.500468
194	0	104.554156
195	1	104.569152
196	0	105.619376
197	1	105.634428
198	0	106.687916
199	1	106.702992
200	0	107.752988
201	1	107.768112
202	0	108.821464
203	1	108.836620
204	0	109.886432
205	1	109.901640
206	0	110.954868
207	1	110.970100
208	0	112.019736
209	1	112.035024
210	0	113.088000
211	1	113.103308
212	0	114.152784
213	1	114.168144
214	0	115.221008
215	1	115.236392
216	0	116.285660
217	1	116.301100
218	0	117.353796
219	1	117.369260
220	0	118.418348
221	1	118.433864
222	0	119.486380
223	1	119.501928
224	0	120.550808
225	1	120.566404
226	0	121.618808
227	1	121.634432
228	0	122.683072
229	1	122.698748
230	0	123.751008
231	1	123.766708
232	0	124.815160
233	1	124.830916
234	0	125.883028
235	1	125.898812
236	0	126.947080
237	1	126.962916
238	0	128.014848
239	1	128.030708
240	0	129.078796
241	1	129.094712
242	0	130.146496
243	1	130.162440
244	0	131.210352
245	1	131.226348
246	0	132.278000
247	1	132.294024
248	0	133.341752
249	1	133.357824
250	0	134.409324
251	1	134.425424
252	0	135.472960
253	1	135.489116
254	0	136.540444
255	1	136.556628
256	0	137.603984
257	1	137.620216
258	0	138.671408
259	1	138.687676
260	0	139.734852
261	1	139.751168
262	0	140.802172
263	1	140.818520
264	0	141.865520
265	1	141.881924
266	0	142.932768
267	1	142.949196
268	0	143.996044
269	1	144.012528
270	0	145.063200
271	1	145.079716
272	0	146.126376
273	1	146.142940
274	0	147.193448
275	1	147.210044
276	0	148.256532
277	1	148.273180
278	0	149.323568
279	1	149.340240
280	0	150.386556
281	1	150.403284
282	0	151.453492
283	1	151.470252
284	0	152.516392
285	1	152.533208
286	0	153.583268
287	1	153.600112
288	0	154.646080
289	1	154.662976
290	0	155.712848
291	1	155.729780
292	0	156.775536
293	1	156.792528
294	0	157.842232
295	1	157.859248
296	0	158.904832
297	1	158.921908
298	0	159.971460
299	1	159.988568
300	0	161.033980
301	1	161.051148
302	0	162.100588
303	1	162.117784
304	0	163.163036
305	1	163.180292
306	0	164.229548
307	1	164.246832
308	0	165.291908
309	1	165.309256
310	0	166.358420
311	1	166.375792
312	0	167.420684
313	1	167.438116
314	0	168.487076
315	1	168.504540
316	0	169.549228
317	1	169.566748
318	0	170.615616
319	1	170.633168
320	0	171.677668
321	1	171.695280
322	0	172.743968
323	1	172.761608
324	0	173.805964
325	1	173.823660
326	0	174.872212
327	1	174.889944
328	0	175.934144
329	1	175.951924
330	0	177.000340
331	1	177.018156
332	0	178.062164
333	1	178.080036
334	0	179.128320
335	1	179.146224
336	0	180.190072
337	1	180.208028
338	0	181.256156
339	1	181.274140
340	0	182.317816
341	1	182.335864
342	0	183.383812
343	1	183.401900
344	0	184.445400
345	1	184.463536
346	0	185.511324
347	1	185.529496
348	0	186.572832
349	1	186.591060
350	0	187.638692
351	1	187.656948
352	0	188.700132
353	1	188.718452
354	0	189.765920
355	1	189.784276
356	0	190.827284
