#Creator: pendulumSimpleEventBuffer
#Creation time: Wed Mar  1 17:42:31 2017
#Id	Edge	Time
#[]	[b]	[s]
348	0	184.416396
349	1	184.472844
350	0	185.467816
351	1	185.524488
352	0	186.530208
353	1	186.586988
354	0	187.581824
355	1	187.638844
356	0	188.644168
357	1	188.701308
358	0	189.695896
359	1	189.753228
360	0	190.758188
361	1	190.815684
362	0	191.809664
363	1	191.867308
364	0	192.872304
365	1	192.930064
366	0	193.923692
367	1	193.981652
368	0	194.986348
369	1	195.044384
370	0	196.037716
371	1	196.095940
372	0	197.100316
373	1	197.158648
374	0	198.151732
375	1	198.210260
376	0	199.214396
377	1	199.273032
378	0	200.265624
379	1	200.324428
380	0	201.328412
381	1	201.387324
382	0	202.379596
383	1	202.438720
384	0	203.442496
385	1	203.501692
386	0	204.493568
387	1	204.552972
388	0	205.556456
389	1	205.615944
390	0	206.607492
391	1	206.667180
392	0	207.670456
393	1	207.730228
394	0	208.721412
395	1	208.781404
396	0	209.784440
397	1	209.844504
398	0	210.835304
399	1	210.895592
400	0	211.898372
401	1	211.958720
402	0	212.949148
403	1	213.009720
404	0	214.012300
405	1	214.072964
406	0	215.062924
407	1	215.123812
408	0	216.126212
409	1	216.187108
410	0	217.176956
411	1	217.238136
412	0	218.239928
413	1	218.301184
414	0	219.290896
415	1	219.352392
416	0	220.354012
417	1	220.415632
418	0	221.404420
419	1	221.466212
420	0	222.467984
421	1	222.529864
422	0	223.518332
423	1	223.580456
424	0	224.581560
425	1	224.643768
426	0	225.632304
427	1	225.694764
428	0	226.695228
429	1	226.757824
430	0	227.745756
431	1	227.808584
432	0	228.808760
433	1	228.871712
434	0	229.859292
435	1	229.922456
436	0	230.922444
437	1	230.985740
438	0	231.972680
439	1	232.036188
440	0	233.036004
441	1	233.099644
442	0	234.086400
443	1	234.150276
444	0	235.149744
445	1	235.213752
446	0	236.199952
447	1	236.264220
448	0	237.263384
449	1	237.327756
450	0	238.313428
451	1	238.377996
452	0	239.377120
453	1	239.441836
454	0	240.426852
455	1	240.491776
456	0	241.490616
457	1	241.555656
458	0	242.540436
