#Creator: pendulumSimpleEventBuffer
#Creation time: Wed Mar  1 17:42:31 2017
#Id	Edge	Time
#[]	[b]	[s]
0	0	0.333672
1	1	0.348760
2	0	1.399044
3	1	1.414192
4	0	2.467236
5	1	2.482400
6	0	3.532468
7	1	3.547688
8	0	4.600540
9	1	4.615784
10	0	5.665660
11	1	5.680960
12	0	6.733604
13	1	6.748924
14	0	7.798644
15	1	7.814008
16	0	8.866556
17	1	8.881940
18	0	9.931456
19	1	9.946908
20	0	10.999236
21	1	11.014708
22	0	12.064064
23	1	12.079596
24	0	13.131740
25	1	13.147300
26	0	14.196472
27	1	14.212084
28	0	15.264052
29	1	15.279688
30	0	16.328684
31	1	16.344376
32	0	17.396212
33	1	17.411924
34	0	18.460720
35	1	18.476492
36	0	19.528160
37	1	19.543948
38	0	20.592580
39	1	20.608428
40	0	21.659860
41	1	21.675732
42	0	22.724244
43	1	22.740172
44	0	23.791368
45	1	23.807328
46	0	24.855676
47	1	24.871692
48	0	25.922708
49	1	25.938752
50	0	26.986880
51	1	27.002980
52	0	28.053940
53	1	28.070068
54	0	29.118020
55	1	29.134204
56	0	30.184988
57	1	30.201192
58	0	31.248924
59	1	31.265188
60	0	32.315840
61	1	32.332128
62	0	33.379704
63	1	33.396052
64	0	34.446528
65	1	34.462908
66	0	35.510284
67	1	35.526712
68	0	36.577036
69	1	36.593488
70	0	37.640684
71	1	37.657192
72	0	38.707352
73	1	38.723888
74	0	39.770924
75	1	39.787516
76	0	40.837556
77	1	40.854176
78	0	41.901084
79	1	41.917756
80	0	42.967544
81	1	42.984240
82	0	44.031020
83	1	44.047780
84	0	45.097428
85	1	45.114216
86	0	46.160796
87	1	46.177640
88	0	47.227140
89	1	47.244004
90	0	48.290440
91	1	48.307364
92	0	49.356748
93	1	49.373700
94	0	50.419944
95	1	50.436952
96	0	51.486148
97	1	51.503180
98	0	52.549292
99	1	52.566388
100	0	53.615288
101	1	53.632416
102	0	54.678352
103	1	54.695536
104	0	55.744396
105	1	55.761608
106	0	56.807320
107	1	56.824596
108	0	57.873268
109	1	57.890568
110	0	58.936064
111	1	58.953432
112	0	60.001936
113	1	60.019324
114	0	61.064708
115	1	61.082164
116	0	62.130520
117	1	62.148004
118	0	63.193228
119	1	63.210772
120	0	64.258900
121	1	64.276472
122	0	65.321496
123	1	65.339128
124	0	66.387204
125	1	66.404872
126	0	67.449648
127	1	67.467380
128	0	68.515324
129	1	68.533084
130	0	69.577672
131	1	69.595492
132	0	70.643272
133	1	70.661120
134	0	71.705508
135	1	71.723416
136	0	72.771064
137	1	72.789008
138	0	73.833168
139	1	73.851168
140	0	74.898808
141	1	74.916840
142	0	75.960844
143	1	75.978928
144	0	77.026364
145	1	77.044484
146	0	78.088364
147	1	78.106544
148	0	79.153804
149	1	79.172016
150	0	80.215816
151	1	80.234084
152	0	81.281152
153	1	81.299444
154	0	82.343112
155	1	82.361472
156	0	83.408340
157	1	83.426724
158	0	84.470232
159	1	84.488680
160	0	85.535416
161	1	85.553892
162	0	86.597236
163	1	86.615776
164	0	87.662392
165	1	87.680960
166	0	88.724148
167	1	88.742772
168	0	89.789272
169	1	89.807928
170	0	90.850948
171	1	90.869664
172	0	91.916048
173	1	91.934792
174	0	92.977584
175	1	92.996392
176	0	94.042656
177	1	94.061492
178	0	95.104152
179	1	95.123044
180	0	96.169168
181	1	96.188100
182	0	97.230588
183	1	97.249580
184	0	98.295568
185	1	98.314600
186	0	99.356896
187	1	99.375976
188	0	100.421812
189	1	100.440924
190	0	101.483008
191	1	101.502180
192	0	102.547868
193	1	102.567068
194	0	103.609040
195	1	103.628300
196	0	104.673864
197	1	104.693160
198	0	105.734896
199	1	105.754260
200	0	106.799672
201	1	106.819060
202	0	107.860660
203	1	107.880112
204	0	108.925344
205	1	108.944832
206	0	109.986340
207	1	110.005884
208	0	111.050864
209	1	111.070440
210	0	112.111860
211	1	112.131504
212	0	113.176340
213	1	113.196016
214	0	114.237272
215	1	114.257008
216	0	115.301672
217	1	115.321444
218	0	116.362564
219	1	116.382396
220	0	117.426936
221	1	117.446804
222	0	118.487784
223	1	118.507716
224	0	119.552056
225	1	119.572020
226	0	120.612848
227	1	120.632872
228	0	121.677072
229	1	121.697132
230	0	122.737816
231	1	122.757944
232	0	123.801996
233	1	123.822156
234	0	124.862724
235	1	124.882948
236	0	125.926852
237	1	125.947100
238	0	126.987536
239	1	127.007856
240	0	128.051560
241	1	128.071916
242	0	129.112200
243	1	129.132616
244	0	130.176212
245	1	130.196660
246	0	131.236788
247	1	131.257304
248	0	132.300768
249	1	132.321320
250	0	133.361328
251	1	133.381944
252	0	134.425212
253	1	134.445864
254	0	135.485648
255	1	135.506364
256	0	136.549512
257	1	136.570260
258	0	137.609820
259	1	137.630640
260	0	138.673564
261	1	138.694420
262	0	139.733920
263	1	139.754844
264	0	140.797664
265	1	140.818632
266	0	141.857908
267	1	141.878944
268	0	142.921580
269	1	142.942652
270	0	143.981800
271	1	144.002948
272	0	145.045420
273	1	145.066604
274	0	146.105616
275	1	146.126860
276	0	147.169228
277	1	147.190512
278	0	148.229340
279	1	148.250688
280	0	149.292980
281	1	149.314368
282	0	150.353012
283	1	150.374464
284	0	151.416684
285	1	151.438168
286	0	152.476624
287	1	152.498176
288	0	153.540280
289	1	153.561872
290	0	154.600160
291	1	154.621816
292	0	155.663812
293	1	155.685512
294	0	156.723616
295	1	156.745372
296	0	157.787212
297	1	157.809008
298	0	158.846968
299	1	158.868828
300	0	159.910516
301	1	159.932420
302	0	160.970204
303	1	160.992180
304	0	162.033692
305	1	162.055696
306	0	163.093404
307	1	163.115476
308	0	164.156828
309	1	164.178940
310	0	165.216480
311	1	165.238652
312	0	166.279904
313	1	166.302120
314	0	167.339460
315	1	167.361740
316	0	168.402824
317	1	168.425144
318	0	169.462264
319	1	169.484664
320	0	170.525684
321	1	170.548112
322	0	171.585052
323	1	171.607552
324	0	172.648476
325	1	172.671012
326	0	173.707768
327	1	173.730372
328	0	174.771144
329	1	174.793788
330	0	175.830408
331	1	175.853112
332	0	176.893768
333	1	176.916520
334	0	177.952980
335	1	177.975796
336	0	179.016316
337	1	179.039164
338	0	180.075468
339	1	180.098400
340	0	181.138772
341	1	181.161740
342	0	182.197888
343	1	182.220924
344	0	183.261180
345	1	183.284248
346	0	184.320236
347	1	184.343384
348	0	185.383496
349	1	185.406680
350	0	186.442508
351	1	186.465760
352	0	187.505756
353	1	187.529032
354	0	188.564700
355	1	188.588068
356	0	189.627912
357	1	189.651316
358	0	190.686824
359	1	190.710300
360	0	191.749992
361	1	191.773504
362	0	192.808828
363	1	192.832412
364	0	193.871992
365	1	193.895620
366	0	194.930792
367	1	194.954496
368	0	195.993952
369	1	196.017684
370	0	197.052688
371	1	197.076496
372	0	198.115812
373	1	198.139660
374	0	199.174536
375	1	199.198460
376	0	200.237624
377	1	200.261596
378	0	201.296276
379	1	201.320312
380	0	202.359332
381	1	202.383404
382	0	203.417976
383	1	203.442128
384	0	204.481008
385	1	204.505196
386	0	205.539616
387	1	205.563884
388	0	206.602576
389	1	206.626872
390	0	207.661164
391	1	207.685544
392	0	208.724084
393	1	208.748500
394	0	209.782640
395	1	209.807132
396	0	210.845516
397	1	210.870040
398	0	211.904016
399	1	211.928628
400	0	212.966864
401	1	212.991504
402	0	214.025332
403	1	214.050056
404	0	215.088144
405	1	215.112908
406	0	216.146556
407	1	216.171404
408	0	217.209360
409	1	217.234240
410	0	218.267748
411	1	218.292712
412	0	219.330520
413	1	219.355520
414	0	220.388864
415	1	220.413944
416	0	221.451612
417	1	221.476736
418	0	222.509920
419	1	222.535120
420	0	223.572640
421	1	223.597880
422	0	224.630900
423	1	224.656224
424	0	225.693584
425	1	225.718944
426	0	226.751780
427	1	226.777224
428	0	227.814436
429	1	227.839908
430	0	228.872628
431	1	228.898184
432	0	229.935180
433	1	229.960780
434	0	230.993344
435	1	231.019028
436	0	232.055880
437	1	232.081600
438	0	233.114040
439	1	233.139840
440	0	234.176608
441	1	234.202452
442	0	235.234712
443	1	235.260636
444	0	236.297276
445	1	236.323236
446	0	237.355356
447	1	237.381404
448	0	238.417904
449	1	238.443992
