#Creator: pendulumSimpleEventBuffer
#Creation time: Wed Mar  1 17:42:31 2017
#Id	Edge	Time
#[]	[b]	[s]
0	0	0.474584
1	1	0.491700
2	0	1.537524
3	1	1.554708
4	0	2.603676
5	1	2.620884
6	0	3.666432
7	1	3.683704
8	0	4.732532
9	1	4.749840
10	0	5.795124
11	1	5.812488
12	0	6.861196
13	1	6.878596
14	0	7.923648
15	1	7.941116
16	0	8.989740
17	1	9.007232
18	0	10.052112
19	1	10.069664
20	0	11.118164
21	1	11.135744
22	0	12.180468
23	1	12.198108
24	0	13.246432
25	1	13.264092
26	0	14.308700
27	1	14.326432
28	0	15.374640
29	1	15.392396
30	0	16.436840
31	1	16.454660
32	0	17.502712
33	1	17.520564
34	0	18.564844
35	1	18.582752
36	0	19.630668
37	1	19.648596
38	0	20.692708
39	1	20.710704
40	0	21.758484
41	1	21.776504
42	0	22.820472
43	1	22.838552
44	0	23.886132
45	1	23.904244
46	0	24.948092
47	1	24.966264
48	0	26.013604
49	1	26.031804
50	0	27.075468
51	1	27.093732
52	0	28.140948
53	1	28.159240
54	0	29.202676
55	1	29.221024
56	0	30.268172
57	1	30.286552
58	0	31.329768
59	1	31.348208
60	0	32.395220
61	1	32.413700
62	0	33.456712
63	1	33.475256
64	0	34.522156
65	1	34.540724
66	0	35.583608
67	1	35.602240
68	0	36.648844
69	1	36.667508
70	0	37.710328
71	1	37.729060
72	0	38.775556
73	1	38.794316
74	0	39.836888
75	1	39.855716
76	0	40.902100
77	1	40.920960
78	0	41.963344
79	1	41.982264
80	0	43.028516
81	1	43.047468
82	0	44.089716
83	1	44.108728
84	0	45.154744
85	1	45.173796
86	0	46.215852
87	1	46.234960
88	0	47.280856
89	1	47.299992
90	0	48.341932
91	1	48.361136
92	0	49.406916
93	1	49.426168
94	0	50.467744
95	1	50.487056
96	0	51.532772
97	1	51.552124
98	0	52.593548
99	1	52.612960
100	0	53.658556
101	1	53.678000
102	0	54.719204
103	1	54.738716
104	0	55.784244
105	1	55.803784
106	0	56.844776
107	1	56.864384
108	0	57.909768
109	1	57.929412
110	0	58.970300
111	1	58.990004
112	0	60.035236
113	1	60.054976
114	0	61.095616
115	1	61.115428
116	0	62.160572
117	1	62.180412
118	0	63.220812
119	1	63.240724
120	0	64.285628
121	1	64.305572
122	0	65.345972
123	1	65.365980
124	0	66.410860
125	1	66.430916
126	0	67.471012
127	1	67.491136
128	0	68.535868
129	1	68.556024
130	0	69.596000
131	1	69.616224
132	0	70.660788
133	1	70.681048
134	0	71.720904
135	1	71.741220
136	0	72.785672
137	1	72.806020
138	0	73.845580
139	1	73.866000
140	0	74.910288
141	1	74.930748
142	0	75.970236
143	1	75.990764
144	0	77.034820
145	1	77.055380
146	0	78.094748
147	1	78.115380
148	0	79.159224
149	1	79.179888
150	0	80.219144
151	1	80.239876
152	0	81.283544
153	1	81.304312
154	0	82.343448
155	1	82.364284
156	0	83.407784
157	1	83.428652
158	0	84.467624
159	1	84.488564
160	0	85.531880
161	1	85.552856
162	0	86.591660
163	1	86.612708
164	0	87.655972
165	1	87.677060
166	0	88.715716
167	1	88.736872
168	0	89.779956
169	1	89.801160
170	0	90.839540
171	1	90.860812
172	0	91.903692
173	1	91.925012
174	0	92.963096
175	1	92.984484
176	0	94.027432
177	1	94.048856
178	0	95.086700
179	1	95.108196
180	0	96.150968
181	1	96.172508
182	0	97.210236
183	1	97.231844
184	0	98.274468
185	1	98.296116
186	0	99.333676
187	1	99.355384
188	0	100.397924
189	1	100.419668
190	0	101.457052
191	1	101.478868
192	0	102.521292
193	1	102.543148
194	0	103.580316
195	1	103.602240
196	0	104.644564
197	1	104.666524
198	0	105.703536
199	1	105.725564
200	0	106.767720
201	1	106.789784
202	0	107.826668
203	1	107.848800
204	0	108.890808
205	1	108.912972
206	0	109.949704
207	1	109.971944
208	0	111.013768
209	1	111.036048
210	0	112.072688
211	1	112.095036
212	0	113.136660
213	1	113.159052
214	0	114.195556
215	1	114.218008
216	0	115.259484
217	1	115.281972
218	0	116.318332
219	1	116.340900
220	0	117.382256
221	1	117.404848
222	0	118.441068
223	1	118.463740
224	0	119.504980
225	1	119.527688
226	0	120.563720
227	1	120.586504
228	0	121.627624
229	1	121.650444
230	0	122.686296
231	1	122.709188
232	0	123.750140
233	1	123.773072
234	0	124.808772
235	1	124.831764
236	0	125.872572
237	1	125.895584
238	0	126.931140
239	1	126.954244
