#Creator: pendulumviewEventBuffer
#Creation time: Wed Feb 22 15:33:09 2017
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
18.225	358	18.249	410
18.275	352	18.300	398
18.326	353	18.351	390
18.376	358	18.402	386
18.427	367	18.452	389
18.477	382	18.503	396
18.529	399	18.553	408
18.579	419	18.604	423
18.630	440	18.655	442
18.680	463	18.706	463
18.731	484	18.756	486
18.782	503	18.807	508
18.833	519	18.857	530
18.883	532	18.909	550
18.934	541	18.959	566
18.984	545	19.010	578
19.036	545	19.060	586
19.086	539	19.111	589
19.137	529	19.162	586
19.187	514	19.213	579
19.238	498	19.264	567
19.288	478	19.314	552
19.340	457	19.365	532
19.390	436	19.415	510
19.441	416	19.467	488
19.491	397	19.517	465
19.542	381	19.568	443
19.593	369	19.618	423
19.644	361	19.669	406
19.694	357	19.720	394
19.745	358	19.771	386
19.795	364	19.821	383
19.847	374	19.872	386
19.897	388	19.922	393
19.948	405	19.974	407
19.998	425	20.024	423
