#Creator: pendulumviewEventBuffer
#Creation time: Wed Feb 22 15:33:09 2017
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
17.209	476	17.234	462
17.259	463	17.285	462
17.310	448	17.335	462
17.361	436	17.386	461
17.412	425	17.436	462
17.462	416	17.488	462
17.513	410	17.538	462
17.563	408	17.589	462
17.615	406	17.639	462
17.665	408	17.690	462
17.716	413	17.741	462
17.766	420	17.792	462
17.817	430	17.843	462
17.867	441	17.893	462
17.919	454	17.944	462
17.969	467	17.994	461
18.020	480	18.046	461
18.070	493	18.096	462
18.121	503	18.147	461
18.172	512	18.197	462
18.223	519	18.248	461
18.273	521	18.299	462
18.324	522	18.350	462
18.374	520	18.400	461
18.426	515	18.451	461
18.476	508	18.501	462
18.527	499	18.553	462
18.577	488	18.603	462
18.628	475	18.654	462
18.679	463	18.704	462
18.730	450	18.755	461
18.780	438	18.805	462
18.831	427	18.857	462
18.881	419	18.907	462
18.932	413	18.958	462
18.983	409	19.008	462
19.034	409	19.059	462
19.084	411	19.110	462
19.135	416	19.161	462
19.185	423	19.211	462
19.237	432	19.262	461
19.287	442	19.312	461
19.338	453	19.364	461
19.388	466	19.414	461
19.439	479	19.465	461
19.490	490	19.515	461
19.541	500	19.566	461
19.591	508	19.616	461
19.642	515	19.668	462
19.692	518	19.718	462
19.743	519	19.769	462
19.794	517	19.819	461
19.845	512	19.870	462
19.895	506	19.921	462
19.946	496	19.972	462
19.996	486	20.022	462
