#Creator: pendulumviewEventBuffer
#Creation time: Wed Feb 22 15:33:09 2017
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
2.003	421	2.027	421
2.053	458	2.079	368
2.104	493	2.129	320
2.154	525	2.180	280
2.206	551	2.230	251
2.256	570	2.281	234
2.307	581	2.331	230
2.357	584	2.383	241
2.408	579	2.433	261
2.458	564	2.484	295
2.510	543	2.534	337
2.560	515	2.585	386
2.611	483	2.636	440
2.661	447	2.687	495
2.712	411	2.737	550
2.763	375	2.788	598
2.814	343	2.838	642
2.864	314	2.890	676
2.915	292	2.940	700
2.965	278	2.991	709
3.017	272	3.041	707
3.067	273	3.092	692
3.118	282	3.142	669
3.168	300	3.194	634
3.219	324	3.244	592
3.269	354	3.295	541
3.321	388	3.345	487
3.371	423	3.396	432
3.422	458	3.447	379
3.472	493	3.498	331
3.523	524	3.548	289
3.574	549	3.599	258
3.625	567	3.650	239
3.675	577	3.701	234
3.726	580	3.752	241
3.776	574	3.802	259
3.828	561	3.853	289
3.878	540	3.903	330
3.929	512	3.955	377
3.979	481	4.005	430
4.030	446	4.056	484
4.080	410	4.106	538
4.132	376	4.157	587
4.182	344	4.207	630
4.233	317	4.259	665
4.283	296	4.309	692
4.334	281	4.360	705
4.385	276	4.410	705
4.436	277	4.461	694
4.486	286	4.512	672
4.537	303	4.563	641
4.587	328	4.613	600
4.639	356	4.664	552
4.689	390	4.714	499
4.740	425	4.766	446
4.790	459	4.816	393
4.841	493	4.867	345
4.891	522	4.917	304
4.943	548	4.968	270
4.993	565	5.018	248
5.044	575	5.070	238
5.094	577	5.120	243
5.145	573	5.171	258
5.196	558	5.221	285
5.247	537	5.272	322
5.297	511	5.323	368
5.348	479	5.374	418
5.398	445	5.424	470
5.450	411	5.475	523
5.500	376	5.525	572
5.551	345	5.577	617
5.601	319	5.627	654
5.652	297	5.678	682
5.702	284	5.728	699
5.754	278	5.779	702
5.804	279	5.829	694
5.855	290	5.881	676
5.905	306	5.931	646
5.956	329	5.982	609
6.007	359	6.032	564
6.058	391	6.083	512
6.108	426	6.134	460
6.159	460	6.185	408
6.209	493	6.235	359
6.261	523	6.286	316
6.311	547	6.336	281
6.362	565	6.388	256
6.412	575	6.438	244
6.463	577	6.489	245
6.513	571	6.539	258
6.565	558	6.590	280
6.615	537	6.640	315
6.666	510	6.692	357
6.716	478	6.742	406
6.767	444	6.793	457
6.818	409	6.843	509
6.869	376	6.894	559
6.919	345	6.945	604
6.970	318	6.996	642
7.020	297	7.046	672
7.072	284	7.097	692
7.122	279	7.147	699
7.173	280	7.199	693
7.223	290	7.249	677
7.274	308	7.300	652
7.324	332	7.350	616
7.376	360	7.401	574
7.426	393	7.451	525
7.477	427	7.503	475
7.527	462	7.553	422
7.578	495	7.604	374
7.630	524	7.654	330
7.680	548	7.705	293
7.731	565	7.756	266
7.781	576	7.807	251
7.832	577	7.857	249
7.883	572	7.908	259
7.934	557	7.958	278
7.984	536	8.010	309
8.035	509	8.060	350
8.085	478	8.111	395
8.137	444	8.161	445
8.187	409	8.212	495
8.238	376	8.262	545
8.288	344	8.314	591
8.339	317	8.364	630
8.389	297	8.415	662
8.441	284	8.465	683
8.491	279	8.516	693
8.542	280	8.567	690
8.592	291	8.618	677
8.643	307	8.668	655
8.694	331	8.719	622
8.745	360	8.769	582
8.795	393	8.821	537
8.846	428	8.871	486
8.896	463	8.922	436
8.948	496	8.972	387
8.998	525	9.023	343
9.049	550	9.073	306
9.099	568	9.125	277
9.150	576	9.175	260
9.200	579	9.226	255
9.252	573	9.276	262
9.302	559	9.327	278
9.353	537	9.378	306
9.403	511	9.429	344
9.454	479	9.479	386
9.505	445	9.530	434
9.556	410	9.580	484
9.606	375	9.632	532
9.657	344	9.682	578
9.707	317	9.733	618
9.759	296	9.783	651
9.809	283	9.834	674
9.860	278	9.884	686
9.910	279	9.936	685
9.961	289	9.986	675
10.011	306	10.037	655
10.063	330	10.087	626
10.113	359	10.138	590
10.164	393	10.189	545
10.214	428	10.240	497
10.265	463	10.290	448
10.316	496	10.341	401
10.367	526	10.391	356
10.417	551	10.443	319
10.468	569	10.493	289
10.518	579	10.544	270
10.570	581	10.594	263
10.620	575	10.645	266
10.671	562	10.695	281
10.721	540	10.747	305
10.772	513	10.798	339
10.822	481	10.848	379
10.874	447	10.899	425
10.924	411	10.949	473
10.975	376	11.001	521
11.025	345	11.051	566
11.076	317	11.102	606
11.127	295	11.152	639
11.178	281	11.203	664
11.228	276	11.254	678
11.279	277	11.305	680
11.329	287	11.355	672
11.381	304	11.406	655
11.431	328	11.456	628
11.482	358	11.508	594
11.532	391	11.558	552
11.583	426	11.609	507
11.633	462	11.659	460
11.685	496	11.710	413
11.735	527	11.760	369
11.786	552	11.812	331
11.836	572	11.862	301
11.887	581	11.913	280
11.938	585	11.963	271
11.989	579	12.014	272
12.039	565	12.065	283
12.090	544	12.116	305
12.140	518	12.166	336
12.192	485	12.217	375
12.242	450	12.267	418
12.293	413	12.319	464
12.343	378	12.369	510
12.394	346	12.420	555
12.444	317	12.470	594
12.496	294	12.521	628
12.546	280	12.571	654
12.597	274	12.623	669
12.647	274	12.673	673
12.698	283	12.724	668
12.749	300	12.774	653
12.800	324	12.825	629
12.850	354	12.876	597
12.901	388	12.927	558
12.951	423	12.977	515
13.003	460	13.028	469
13.053	495	13.078	424
13.104	527	13.130	382
13.154	553	13.180	344
13.205	572	13.231	313
13.255	585	13.281	291
13.307	588	13.332	279
13.357	583	13.382	280
13.408	569	13.434	288
13.458	549	13.484	307
13.509	520	13.535	336
13.560	490	13.585	371
13.611	454	13.636	413
13.661	417	13.687	456
13.712	381	13.738	501
13.762	347	13.788	544
13.814	317	13.839	584
13.864	294	13.889	616
13.915	278	13.941	643
13.965	271	13.991	659
14.016	271	14.042	666
14.067	280	14.092	662
14.118	296	14.143	650
14.168	321	14.193	628
14.219	350	14.245	599
14.269	384	14.295	563
14.320	420	14.346	521
14.371	457	14.396	478
14.422	493	14.447	434
14.472	526	14.498	393
14.523	553	14.549	355
14.573	574	14.599	325
14.625	587	14.650	301
14.675	591	14.700	289
14.726	588	14.752	286
14.776	575	14.802	293
14.827	554	14.853	310
14.878	527	14.903	337
14.929	495	14.954	369
14.979	459	15.004	408
15.030	421	15.056	450
15.080	385	15.106	492
15.131	350	15.157	534
15.182	320	15.207	573
15.233	295	15.258	606
15.284	278	15.309	633
15.334	270	15.360	650
15.385	268	15.410	657
15.436	277	15.461	657
15.487	292	15.511	646
15.537	315	15.563	626
15.588	345	15.613	599
15.638	379	15.664	565
15.690	415	15.714	526
15.740	454	15.765	485
15.791	490	15.815	443
15.841	524	15.867	402
15.892	553	15.917	366
15.942	575	15.968	335
15.994	589	16.018	312
16.044	593	16.069	299
16.095	592	16.120	295
16.145	580	16.171	300
16.196	560	16.221	315
16.247	532	16.272	338
16.298	501	16.322	369
16.348	465	16.374	405
16.399	427	16.424	444
16.449	389	16.475	485
16.501	354	16.525	527
16.551	322	16.576	564
16.602	296	16.627	596
16.652	277	16.678	623
16.703	268	16.728	640
16.753	266	16.779	650
16.805	272	16.829	649
16.855	287	16.880	641
16.906	310	16.931	623
16.956	339	16.982	597
17.007	373	17.032	566
17.058	410	17.083	529
17.109	448	17.133	490
17.159	486	17.185	449
17.210	520	17.235	411
17.260	551	17.286	375
17.312	574	17.336	344
17.362	590	17.387	322
17.413	596	17.438	308
17.463	596	17.489	303
17.514	585	17.539	307
17.564	566	17.590	319
17.616	540	17.640	340
17.666	508	17.691	369
17.717	473	17.742	404
17.767	434	17.793	442
17.818	395	17.843	480
17.869	359	17.894	520
17.920	326	17.944	556
17.970	298	17.996	588
18.021	278	18.046	614
18.071	266	18.097	633
18.123	264	18.147	642
18.173	269	18.198	642
18.224	283	18.249	634
18.274	304	18.300	619
18.325	332	18.351	595
18.375	366	18.401	566
18.427	404	18.452	531
18.477	442	18.502	493
18.528	481	18.554	455
18.578	516	18.604	417
18.629	548	18.655	383
18.680	573	18.705	353
18.731	591	18.756	331
18.781	599	18.807	316
18.832	599	18.858	312
18.882	590	18.908	314
18.934	573	18.959	325
18.984	547	19.009	345
19.035	516	19.061	372
19.085	480	19.111	404
19.136	442	19.162	440
19.187	403	19.212	476
19.238	365	19.263	514
19.288	330	19.313	549
19.339	301	19.365	580
19.389	280	19.415	606
19.440	266	19.466	624
19.491	262	19.516	634
19.542	266	19.567	635
19.592	277	19.618	630
19.643	298	19.669	614
19.693	326	19.719	593
19.745	358	19.770	564
19.795	396	19.820	531
19.846	435	19.872	495
19.896	474	19.922	460
19.947	512	19.973	423
19.998	544	20.023	389
20.049	571	20.074	361
20.099	590	20.124	339
20.150	600	20.176	325
20.200	602	20.226	319
20.251	595	20.277	321
20.302	579	20.327	331
20.353	554	20.378	349
20.403	524	20.429	374
20.454	488	20.480	405
20.504	450	20.530	439
20.556	410	20.581	475
20.606	372	20.631	511
20.657	337	20.683	544
20.707	306	20.733	574
20.758	283	20.784	599
20.809	267	20.834	617
20.860	262	20.885	627
20.910	263	20.935	628
20.961	273	20.987	623
21.011	293	21.037	610
21.062	320	21.088	589
21.113	352	21.138	563
21.164	388	21.189	531
21.214	427	21.240	497
21.265	467	21.291	461
21.315	504	21.341	427
21.367	538	21.392	394
21.417	567	21.442	367
21.468	589	21.494	346
21.518	600	21.544	332
21.569	604	21.595	326
21.620	600	21.645	327
21.671	584	21.696	337
21.721	562	21.747	354
21.772	531	21.798	379
21.822	497	21.848	407
21.873	459	21.899	440
21.924	420	21.949	474
21.975	381	22.000	508
22.026	345	22.051	541
22.076	313	22.102	570
22.127	286	22.152	594
22.178	270	22.203	610
22.229	262	22.253	620
22.279	261	22.305	622
22.330	270	22.355	616
22.380	287	22.406	603
22.432	312	22.456	584
22.482	344	22.507	558
22.533	379	22.558	529
22.583	419	22.609	497
22.634	459	22.659	463
22.684	498	22.710	430
22.736	533	22.760	400
22.786	562	22.811	372
22.837	586	22.862	352
22.887	600	22.913	338
22.938	605	22.963	332
22.989	602	23.014	333
23.040	589	23.064	342
23.090	567	23.116	359
23.141	539	23.166	381
23.191	506	23.217	409
23.243	467	23.267	441
23.293	428	23.318	474
23.344	389	23.369	506
23.394	352	23.420	538
23.445	319	23.470	566
23.495	291	23.521	589
23.547	273	23.571	605
23.597	264	23.622	615
23.648	262	23.673	618
23.698	268	23.724	613
23.749	285	23.774	600
23.800	307	23.825	581
23.851	337	23.875	557
23.901	372	23.927	527
23.952	410	23.977	496
24.002	449	24.028	463
24.054	488	24.078	431
24.104	524	24.129	400
24.155	556	24.180	375
24.205	581	24.231	355
24.256	597	24.281	343
24.307	604	24.332	335
24.358	603	24.382	338
24.408	592	24.433	347
24.459	574	24.484	363
24.509	547	24.535	385
24.560	515	24.585	413
24.611	478	24.636	443
24.662	439	24.686	475
24.712	399	24.738	507
24.763	361	24.788	538
24.813	327	24.839	565
24.865	298	24.889	586
24.915	277	24.940	602
24.966	265	24.991	611
25.016	261	25.042	613
25.067	265	25.093	608
25.118	279	25.143	595
25.169	300	25.194	577
25.219	329	25.244	553
25.270	362	25.296	525
25.320	401	25.346	493
25.371	441	25.397	462
25.422	480	25.447	431
25.473	517	25.498	402
25.523	549	25.549	377
25.574	576	25.600	359
25.624	594	25.650	346
25.676	603	25.701	340
25.726	604	25.751	342
25.777	596	25.803	352
25.827	579	25.853	367
25.878	553	25.904	388
25.929	522	25.954	416
25.980	486	26.005	445
26.030	447	26.055	476
26.081	408	26.107	507
26.131	370	26.157	537
26.182	335	26.208	563
26.233	305	26.258	584
26.284	282	26.309	599
26.334	268	26.360	608
26.385	263	26.411	610
26.435	264	26.461	604
26.487	276	26.512	592
26.537	296	26.562	574
26.588	323	26.614	550
26.638	356	26.664	522
26.689	392	26.715	492
26.740	431	26.765	461
26.791	470	26.816	431
26.841	507	26.867	403
26.892	540	26.918	379
26.942	568	26.968	360
26.993	588	27.019	349
27.044	599	27.069	342
27.095	602	27.120	345
27.145	597	27.171	354
27.196	581	27.222	370
27.246	558	27.272	391
27.298	529	27.323	417
27.348	494	27.373	447
27.399	456	27.425	477
27.449	418	27.475	509
27.500	379	27.526	537
27.551	344	27.576	563
27.602	313	27.627	583
27.652	288	27.678	598
27.703	272	27.729	606
27.753	265	27.779	608
27.804	265	27.830	602
27.855	274	27.880	590
27.906	292	27.931	572
27.956	316	27.982	548
28.007	347	28.033	520
28.057	382	28.083	490
28.109	420	28.134	459
28.159	459	28.184	430
28.210	497	28.236	402
28.260	531	28.286	378
28.311	560	28.337	361
28.362	583	28.387	348
28.413	596	28.438	344
28.463	600	28.489	346
28.514	597	28.540	356
28.564	584	28.590	371
28.615	563	28.641	393
28.666	535	28.691	419
28.717	503	28.742	449
28.767	466	28.793	478
28.818	427	28.844	510
28.868	389	28.894	538
28.920	353	28.945	563
28.970	321	28.995	584
29.021	295	29.047	598
29.071	277	29.097	607
29.122	268	29.148	606
29.173	267	29.198	602
29.224	273	29.249	589
29.274	289	29.300	572
29.325	312	29.351	546
29.375	341	29.401	520
29.427	375	29.452	489
29.477	412	29.502	458
29.528	450	29.553	428
29.578	488	29.604	401
29.629	522	29.655	377
29.679	552	29.705	360
29.731	575	29.756	348
29.781	591	29.806	344
29.832	597	29.858	346
29.882	596	29.908	356
29.933	585	29.959	372
29.984	566	30.009	394
30.035	540	30.060	421
30.085	509	30.111	450
30.136	474	30.162	480
30.186	437	30.212	511
30.238	399	30.263	539
30.288	363	30.313	564
30.339	331	30.364	585
30.389	304	30.415	599
30.440	284	30.466	607
30.490	273	30.516	608
30.542	270	30.567	602
30.592	275	30.617	589
30.643	288	30.669	570
30.693	308	30.719	546
30.744	336	30.770	518
30.795	369	30.820	488
30.846	404	30.871	457
30.896	442	30.922	427
30.947	478	30.973	399
30.997	513	31.023	377
31.049	543	31.074	360
31.099	568	31.124	348
31.150	585	31.175	343
31.200	593	31.226	346
31.251	594	31.277	356
31.301	585	31.327	372
31.353	569	31.378	394
31.403	544	31.428	421
31.454	516	31.480	451
31.504	482	31.530	481
31.555	445	31.581	512
31.606	409	31.631	540
31.657	373	31.682	565
31.707	341	31.733	586
31.758	313	31.784	600
31.808	292	31.834	608
31.860	280	31.885	609
31.910	275	31.935	603
31.961	277	31.987	589
32.011	288	32.037	570
32.062	307	32.088	547
32.112	332	32.138	519
32.164	363	32.189	488
32.214	397	32.239	457
32.265	433	32.291	426
32.315	470	32.341	399
32.366	504	32.392	375
32.417	534	32.442	357
32.468	559	32.493	346
32.518	578	32.544	341
32.569	587	32.595	345
32.619	589	32.645	354
32.671	584	32.696	370
32.721	569	32.746	393
32.772	548	32.798	420
32.822	520	32.848	449
32.873	488	32.899	480
32.923	453	32.949	512
32.975	417	33.000	542
33.025	382	33.050	566
33.076	351	33.102	588
33.126	322	33.152	602
33.177	300	33.203	610
33.228	286	33.253	611
33.279	280	33.304	604
33.329	280	33.355	591
33.380	289	33.406	572
33.430	306	33.456	548
33.482	329	33.507	519
33.532	358	33.557	488
33.583	390	33.609	456
