#Creator: pendulumviewEventBuffer
#Creation time: Wed Feb 22 15:33:09 2017
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
3.015	442	3.041	337
3.067	435	3.092	372
3.117	428	3.142	413
3.168	422	3.194	456
3.218	419	3.244	501
3.269	416	3.295	543
3.320	417	3.345	584
3.371	418	3.396	617
3.421	422	3.447	643
3.472	428	3.498	660
3.522	435	3.548	668
3.574	445	3.599	665
3.624	453	3.649	655
3.675	463	3.700	634
3.725	472	3.751	606
3.776	481	3.802	571
3.826	488	3.852	531
3.878	493	3.903	489
3.928	497	3.953	445
3.979	498	4.005	403
4.029	497	4.055	365
4.080	494	4.106	333
4.131	488	4.156	308
4.182	480	4.207	293
4.232	471	4.258	287
4.283	461	4.309	292
4.333	449	4.359	305
4.385	439	4.410	328
4.435	429	4.460	359
4.486	419	4.511	395
4.536	412	4.562	436
4.587	407	4.613	479
4.637	404	4.663	521
4.689	404	4.714	560
4.739	406	4.764	596
4.790	411	4.816	624
4.840	418	4.866	646
4.891	428	4.917	658
4.942	439	4.967	659
4.993	451	5.018	654
5.043	464	5.069	638
5.094	476	5.120	615
5.144	487	5.170	585
5.196	496	5.221	549
5.246	503	5.271	510
5.297	509	5.322	467
5.347	511	5.373	427
5.398	510	5.424	388
5.448	506	5.474	354
5.500	499	5.525	327
5.550	490	5.575	308
5.601	479	5.627	298
5.651	466	5.677	298
5.702	452	5.728	306
5.753	438	5.778	323
5.804	425	5.829	349
5.854	414	5.880	381
5.905	404	5.931	418
5.955	396	5.981	458
6.007	392	6.032	498
6.057	390	6.082	537
6.108	393	6.134	573
6.158	398	6.184	604
6.209	407	6.235	629
6.259	418	6.285	645
6.311	431	6.336	650
6.361	445	6.386	649
6.412	461	6.438	639
6.462	476	6.488	621
6.513	490	6.539	595
6.564	502	6.589	564
6.615	513	6.640	528
6.665	521	6.691	489
6.716	524	6.742	449
6.766	524	6.792	412
6.818	520	6.843	377
6.868	513	6.893	348
6.919	502	6.945	325
6.969	489	6.995	311
7.020	475	7.046	307
7.070	458	7.096	310
7.122	441	7.147	322
7.172	425	7.197	343
7.223	410	7.249	370
7.273	398	7.299	403
7.324	388	7.350	441
7.375	381	7.400	478
7.426	380	7.451	516
7.476	380	7.502	551
7.527	385	7.553	583
7.577	394	7.603	610
7.629	406	7.654	628
7.679	421	7.704	639
7.730	438	7.756	641
7.780	455	7.806	635
7.831	473	7.857	622
7.881	490	7.907	601
7.933	505	7.958	573
7.983	518	8.008	541
8.034	527	8.060	506
8.084	533	8.110	469
8.135	535	8.161	432
8.186	532	8.211	398
8.237	526	8.262	368
8.287	515	8.313	344
8.338	501	8.364	328
8.388	485	8.414	320
8.440	466	8.465	318
8.490	447	8.515	326
8.541	428	8.567	342
8.591	410	8.617	364
8.642	394	8.668	394
8.692	382	8.718	425
8.744	373	8.769	461
8.795	368	8.819	496
8.845	368	8.871	531
8.896	371	8.921	562
8.946	381	8.972	589
8.998	392	9.022	610
9.048	408	9.073	623
9.099	426	9.124	629
9.149	446	9.175	629
9.200	467	9.225	618
9.251	487	9.276	603
9.302	505	9.326	580
9.352	522	9.378	552
9.403	534	9.428	521
9.453	543	9.479	486
9.505	546	9.529	452
9.555	545	9.580	419
9.606	540	9.630	390
9.656	529	9.682	364
9.707	514	9.732	347
9.757	497	9.783	335
9.809	477	9.833	331
9.859	456	9.884	333
9.910	434	9.935	345
9.960	413	9.986	363
10.011	394	10.036	387
10.062	378	10.087	415
10.113	367	10.137	446
10.163	359	10.189	480
10.214	357	10.239	511
10.264	359	10.290	542
10.316	367	10.340	569
10.366	379	10.391	591
10.417	396	10.441	606
10.467	414	10.493	615
10.518	435	10.543	617
10.568	458	10.594	613
10.620	481	10.644	600
10.670	502	10.695	582
10.721	521	10.746	559
10.771	537	10.797	531
10.822	548	10.847	501
10.873	554	10.898	469
10.924	556	10.948	439
10.974	552	11.000	410
11.025	542	11.050	385
11.075	529	11.101	366
11.127	511	11.151	353
11.177	490	11.202	345
11.228	466	11.252	345
11.278	442	11.304	352
11.329	420	11.354	365
11.379	397	11.405	384
11.431	378	11.455	408
11.481	364	11.506	435
11.532	353	11.557	464
11.582	348	11.608	494
11.633	348	11.658	523
11.684	354	11.709	550
11.735	365	11.760	571
11.785	381	11.811	588
11.836	401	11.862	600
11.886	423	11.912	604
11.938	447	11.963	603
11.988	472	12.013	595
12.039	496	12.065	581
12.089	519	12.115	561
12.140	537	12.166	538
12.190	551	12.216	512
12.242	561	12.267	484
12.292	565	12.317	456
12.343	563	12.369	430
12.393	556	12.419	405
12.444	543	12.470	386
12.495	525	12.520	370
12.546	504	12.571	362
12.596	479	12.622	358
12.647	454	12.673	362
12.697	428	12.723	370
12.749	403	12.774	385
12.799	382	12.824	405
12.850	363	12.876	429
12.900	351	12.926	454
12.951	342	12.977	481
13.001	339	13.027	507
13.053	344	13.078	531
13.103	352	13.128	553
13.154	366	13.180	570
13.204	386	13.230	582
13.255	409	13.281	589
13.306	434	13.331	590
13.357	460	13.382	586
13.407	487	13.433	576
13.458	511	13.484	560
13.508	533	13.534	541
13.560	551	13.585	519
13.610	564	13.635	495
13.661	571	13.687	469
13.711	572	13.737	446
13.762	567	13.788	423
13.812	556	13.838	405
13.864	540	13.889	390
13.914	519	13.939	379
13.965	494	13.991	374
14.015	468	14.041	374
14.066	440	14.092	381
14.117	413	14.142	391
14.168	388	14.193	406
14.218	367	14.244	425
14.269	349	14.295	447
14.319	339	14.345	469
14.371	332	14.396	492
14.421	333	14.446	514
14.472	340	14.498	535
14.522	353	14.548	551
14.573	371	14.599	564
14.623	394	14.649	572
14.675	420	14.700	576
14.725	447	14.750	573
14.776	476	14.802	567
14.826	503	14.852	556
14.877	528	14.903	540
14.928	549	14.953	523
14.979	564	15.004	502
15.030	574	15.055	480
15.080	579	15.106	460
15.131	577	15.156	440
15.182	568	15.207	422
15.233	553	15.257	408
15.283	532	15.309	397
15.334	508	15.359	391
15.384	481	15.410	389
15.436	452	15.460	392
15.486	424	15.511	400
15.537	397	15.561	411
15.587	372	15.613	426
15.638	352	15.663	443
15.688	339	15.714	463
15.740	330	15.764	482
