#Creator: pendulumviewEventBuffer
#Creation time: Wed Feb 22 15:33:09 2017
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
15.182	364	15.208	535
15.232	335	15.258	566
15.284	309	15.309	594
15.334	290	15.359	613
15.385	279	15.411	625
15.435	275	15.461	630
15.486	278	15.512	628
15.537	289	15.562	615
15.588	307	15.613	597
15.638	332	15.664	573
15.689	361	15.715	543
15.739	394	15.765	509
15.791	428	15.816	474
15.841	461	15.866	439
15.892	493	15.918	405
15.942	521	15.968	376
15.993	544	16.019	352
16.043	561	16.069	335
16.095	569	16.120	326
16.145	571	16.170	324
16.196	563	16.222	331
16.246	549	16.272	345
16.297	528	16.323	368
16.348	501	16.373	395
16.399	470	16.424	427
16.449	436	16.475	461
16.500	402	16.526	496
16.550	368	16.576	530
16.602	339	16.627	560
16.652	312	16.677	588
16.703	292	16.729	607
16.753	280	16.779	620
16.804	274	16.830	625
16.855	277	16.880	623
16.906	287	16.931	613
16.956	304	16.981	595
17.007	327	17.033	573
17.057	356	17.083	544
17.108	388	17.134	511
17.159	422	17.184	477
17.210	456	17.235	443
17.260	488	17.286	410
17.311	518	17.337	381
17.361	542	17.387	357
17.413	559	17.438	340
17.463	568	17.488	331
17.514	571	17.540	328
17.564	565	17.590	334
17.615	552	17.641	347
17.666	531	17.691	369
17.717	505	17.742	394
17.767	474	17.792	426
17.818	441	17.844	459
17.868	407	17.894	493
17.919	373	17.945	526
17.970	342	17.995	556
18.021	315	18.046	582
18.072	295	18.097	603
18.122	281	18.148	615
18.173	275	18.198	621
18.224	275	18.249	620
18.275	284	18.299	611
18.325	300	18.351	594
18.376	323	18.401	572
18.426	351	18.452	544
18.478	383	18.502	513
18.528	417	18.553	479
18.579	451	18.603	447
18.629	483	18.655	415
18.680	513	18.705	386
18.730	538	18.756	362
18.782	556	18.806	345
18.832	568	18.857	336
18.883	571	18.908	333
18.933	566	18.959	338
18.984	554	19.009	351
19.035	535	19.060	370
19.086	509	19.110	395
19.136	480	19.162	424
19.187	446	19.212	457
19.237	412	19.263	490
19.289	379	19.313	522
19.339	347	19.364	552
19.390	319	19.415	578
19.440	298	19.466	597
19.491	282	19.516	611
19.541	275	19.567	617
19.593	275	19.617	617
19.643	283	19.668	607
19.694	297	19.719	592
19.744	319	19.770	571
19.795	346	19.820	544
19.846	377	19.871	514
19.897	410	19.921	482
19.947	445	19.973	449
19.998	478	20.023	418
20.048	508	20.074	390
20.100	534	20.124	366
20.150	554	20.175	349
20.201	565	20.226	340
