#Creator: pendulumviewEventBuffer
#Creation time: Wed Feb 22 15:33:09 2017
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
1.040	403	1.065	464
1.090	390	1.116	463
1.141	380	1.167	463
1.191	375	1.217	462
1.243	374	1.268	462
1.293	377	1.318	462
1.344	384	1.370	463
1.394	394	1.420	462
1.445	409	1.471	463
1.496	426	1.521	463
1.547	444	1.572	463
1.597	464	1.623	464
1.648	483	1.674	464
1.698	501	1.724	464
1.749	517	1.775	464
1.800	530	1.825	464
1.851	539	1.876	464
1.901	545	1.927	465
1.952	545	1.978	464
2.002	543	2.028	464
2.054	535	2.079	464
2.104	524	2.129	464
2.155	509	2.181	464
2.205	492	2.231	464
2.256	474	2.282	463
2.307	455	2.332	463
2.358	436	2.383	463
2.408	419	2.434	463
2.459	403	2.485	463
2.509	391	2.535	462
2.560	382	2.586	463
2.611	377	2.636	462
2.662	376	2.687	463
2.712	379	2.738	463
2.763	387	2.789	463
2.813	398	2.839	463
2.865	412	2.890	464
2.915	428	2.940	463
2.966	447	2.992	464
3.016	465	3.042	464
3.067	484	3.093	464
3.118	502	3.143	464
3.169	516	3.194	464
3.219	529	3.245	465
3.270	538	3.296	464
3.320	543	3.346	465
3.372	544	3.397	465
3.422	540	3.447	465
3.473	533	3.498	464
3.523	522	3.549	464
3.574	508	3.600	464
3.624	490	3.650	464
3.676	472	3.701	463
3.726	453	3.751	463
3.777	435	3.803	463
3.827	417	3.853	462
3.878	402	3.904	462
3.929	391	3.954	462
3.980	382	4.005	462
4.030	377	4.056	462
4.081	377	4.107	462
4.131	381	4.157	461
4.183	388	4.208	462
4.233	400	4.258	463
4.284	414	4.309	463
4.334	431	4.360	464
4.385	449	4.411	464
4.435	468	4.461	464
4.487	486	4.512	464
4.537	503	4.562	465
4.588	517	4.614	465
4.638	529	4.664	465
4.689	537	4.715	465
4.740	542	4.765	465
4.791	542	4.816	464
4.841	538	4.867	464
4.892	530	4.918	463
4.942	519	4.968	463
4.994	504	5.019	463
5.044	487	5.069	463
5.095	469	5.120	462
5.145	451	5.171	462
5.196	433	5.222	462
5.246	417	5.272	462
5.298	402	5.323	462
5.348	392	5.373	462
5.399	384	5.425	462
5.449	380	5.475	463
5.500	379	5.526	463
5.551	384	5.576	463
5.602	391	5.627	464
5.652	403	5.678	463
5.703	417	5.729	464
5.753	433	5.779	463
5.805	450	5.830	464
5.855	469	5.880	464
5.906	486	5.932	465
5.956	503	5.982	464
6.007	517	6.033	464
6.057	528	6.083	465
6.109	536	6.134	464
6.159	541	6.184	464
6.210	540	6.236	464
6.260	536	6.286	463
6.311	527	6.337	463
6.362	517	6.387	463
6.413	502	6.438	463
6.463	485	6.489	463
6.514	467	6.540	463
6.564	450	6.590	462
6.616	432	6.641	463
6.666	416	6.691	462
6.717	403	6.743	462
6.767	392	6.793	462
6.818	384	6.844	463
6.868	380	6.894	463
6.920	381	6.945	463
6.970	385	6.995	463
7.021	394	7.047	464
7.071	405	7.097	463
7.122	419	7.148	464
7.173	435	7.198	464
7.224	453	7.249	464
7.274	471	7.300	463
7.325	488	7.351	464
7.375	504	7.401	465
7.427	517	7.452	464
7.477	528	7.502	464
7.528	535	7.554	464
7.578	539	7.604	464
7.629	538	7.655	464
7.679	535	7.705	463
7.731	526	7.756	463
7.781	514	7.806	463
7.832	500	7.858	463
7.882	484	7.908	463
7.933	466	7.959	462
7.984	448	8.009	462
8.035	431	8.060	463
8.085	415	8.111	463
8.136	402	8.162	463
8.186	392	8.212	463
8.238	385	8.263	464
8.288	382	8.313	463
8.339	383	8.365	463
8.389	387	8.415	464
8.440	396	8.466	464
8.490	408	8.516	464
8.542	422	8.567	464
8.593	438	8.617	464
8.643	456	8.669	464
8.694	473	8.719	464
8.744	490	8.770	464
8.796	505	8.820	464
8.846	518	8.871	464
8.897	528	8.922	463
8.947	535	8.973	463
8.998	538	9.023	464
9.049	537	9.074	463
9.100	532	9.124	463
9.150	523	9.176	463
9.201	512	9.226	463
9.251	497	9.277	463
9.303	481	9.327	463
9.353	464	9.378	463
9.404	446	9.428	464
9.454	430	9.480	463
9.505	415	9.530	463
9.555	402	9.581	463
9.607	392	9.631	463
9.657	386	9.682	464
9.708	384	9.733	464
9.758	384	9.784	464
9.809	390	9.834	464
9.860	398	9.885	464
9.911	410	9.935	464
9.961	425	9.987	464
10.012	440	10.037	464
10.062	457	10.088	464
10.114	475	10.138	464
10.164	490	10.189	464
10.215	506	10.239	464
10.265	519	10.291	464
10.316	528	10.341	464
10.366	534	10.392	463
10.418	537	10.442	464
10.468	535	10.493	463
10.519	530	10.544	463
10.569	521	10.595	463
10.620	509	10.645	463
10.671	496	10.696	463
10.722	479	10.746	463
10.772	463	10.798	463
10.823	445	10.848	463
10.873	429	10.899	463
10.925	414	10.949	463
10.975	402	11.000	464
11.026	393	11.050	464
11.076	387	11.102	464
11.127	384	11.152	465
11.177	386	11.203	464
11.229	391	11.253	464
11.279	401	11.304	464
11.330	412	11.355	464
11.380	427	11.406	464
11.431	443	11.456	463
11.482	459	11.507	464
11.533	476	11.558	463
11.583	492	11.609	463
11.634	506	11.660	462
11.684	519	11.710	463
11.736	528	11.761	463
11.786	534	11.811	463
11.837	536	11.863	463
11.887	534	11.913	463
11.938	528	11.964	463
11.988	520	12.014	463
12.040	507	12.065	464
12.090	493	12.115	463
12.141	476	12.167	463
12.191	460	12.217	463
12.242	444	12.268	464
12.293	428	12.318	463
12.344	413	12.369	464
12.394	402	12.420	464
12.445	393	12.471	463
12.495	388	12.521	464
12.547	386	12.572	464
12.597	388	12.622	464
