# D = 232.6 +- 5
# d = (9.8+9.8+9.7)/3 +- 0.1
#
# ord	hmisurato 1	h misurato 2	h misurato 3
0			4.6	4.6	4.6
1			7.6	7.6	7.6
2			10	10	10
3			12.1	12.1	12.1
4			14	13.9	13.9
5			15.5	15.6	15.7
6			17.2	17.1	17.2
7			18.6	18.6	18.7
8			20	19.9	20
9			21.3	21.2	21.3
10			22.5	22.4	22.6
11			23.7	23.6	23.7
12			24.8	24.8	24.8
13			26	25.8	25.9
14			27	26.9	27
15			28.1	27.9	28.1
16			29.1	28.9	29.1
17			30	29.9	30.1
18			31	30.9	31.1
19			32	31.8	32
