#Creator: pendulumviewEventBuffer
#Creation time: Wed Feb 22 15:33:09 2017
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
13.206	413	13.231	462
13.256	402	13.281	462
13.307	395	13.333	462
13.357	391	13.383	462
13.408	389	13.434	462
13.459	391	13.484	463
13.510	396	13.535	463
13.560	403	13.586	463
13.611	413	13.637	463
13.661	425	13.687	463
13.713	438	13.738	463
13.763	451	13.788	463
13.814	465	13.840	464
13.864	477	13.890	463
13.915	488	13.941	463
13.965	496	13.991	462
14.017	503	14.042	463
14.067	507	14.092	462
14.118	508	14.144	462
14.168	506	14.194	462
14.219	502	14.245	462
14.270	495	14.295	462
14.321	486	14.346	461
14.371	476	14.397	461
14.422	464	14.448	462
14.472	451	14.498	462
14.524	438	14.549	461
14.574	427	14.599	462
14.625	416	14.651	462
14.675	407	14.701	463
14.726	400	14.752	463
14.776	395	14.802	463
14.828	394	14.853	463
14.878	397	14.903	463
14.929	402	14.955	463
14.979	408	15.005	463
15.030	417	15.056	463
15.081	428	15.106	463
15.132	440	15.157	463
15.182	452	15.208	464
15.233	465	15.259	462
15.283	478	15.309	463
15.335	488	15.360	463
15.385	497	15.410	463
15.436	502	15.462	463
15.486	506	15.512	462
15.537	507	15.563	462
15.587	505	15.613	462
15.639	502	15.664	462
15.689	495	15.714	462
15.740	486	15.766	462
15.790	476	15.816	462
15.841	464	15.867	463
15.892	452	15.917	463
15.943	440	15.968	462
15.993	428	16.019	462
16.044	418	16.070	463
16.094	409	16.120	463
16.146	403	16.171	463
16.196	398	16.221	463
16.247	397	16.273	463
16.297	399	16.323	463
16.348	402	16.374	463
16.399	409	16.424	463
16.450	417	16.475	463
16.500	428	16.525	463
16.551	438	16.577	463
16.601	450	16.627	463
16.652	462	16.678	463
16.703	474	16.728	462
16.754	485	16.779	463
16.804	492	16.830	462
16.855	499	16.881	462
16.905	503	16.931	462
16.957	504	16.982	462
17.007	502	17.032	462
17.058	498	17.084	463
17.108	493	17.134	462
17.159	484	17.185	462
17.210	474	17.235	463
17.261	464	17.286	463
17.311	451	17.336	464
17.362	440	17.388	463
17.412	429	17.438	464
17.463	419	17.489	463
17.514	411	17.539	463
17.565	405	17.590	462
17.616	401	17.641	464
17.666	400	17.692	463
17.717	401	17.742	463
17.768	405	17.793	463
17.819	411	17.843	463
17.869	418	17.895	462
17.920	427	17.945	462
17.970	438	17.996	462
18.022	449	18.046	462
18.072	460	18.097	462
18.123	470	18.147	462
18.173	480	18.199	462
18.224	488	18.249	462
18.274	494	18.300	462
18.326	498	18.350	462
18.376	499	18.401	463
18.427	498	18.452	462
18.477	495	18.503	463
18.528	489	18.553	463
18.579	481	18.604	463
18.630	472	18.654	463
18.680	462	18.706	463
18.731	451	18.756	463
18.781	440	18.807	463
18.833	430	18.857	464
18.883	421	18.908	463
18.934	413	18.959	463
18.984	407	19.010	463
19.035	404	19.060	463
19.085	403	19.111	462
19.137	404	19.161	462
19.187	408	19.212	463
19.238	413	19.263	462
19.288	420	19.314	462
19.339	429	19.364	461
19.390	439	19.415	462
19.441	448	19.465	462
19.491	460	19.517	461
19.542	470	19.567	462
19.592	480	19.618	462
19.644	487	19.668	462
19.694	494	19.719	462
19.745	497	19.770	462
19.795	498	19.821	462
19.846	497	19.871	463
19.896	493	19.922	463
19.948	488	19.972	463
19.998	481	20.023	463
20.049	472	20.074	463
20.099	462	20.125	463
20.150	452	20.175	464
20.201	442	20.226	463
20.252	432	20.276	463
20.302	423	20.328	463
20.353	416	20.378	463
20.403	411	20.429	462
20.455	408	20.479	462
20.505	406	20.530	462
20.556	408	20.581	462
20.606	411	20.632	462
20.657	415	20.683	462
20.707	422	20.733	462
20.759	430	20.784	462
20.809	440	20.834	462
20.860	449	20.886	462
20.910	459	20.936	462
20.961	469	20.987	462
21.012	478	21.037	463
21.063	485	21.088	463
21.113	491	21.139	462
21.164	494	21.190	463
21.214	495	21.240	463
21.266	494	21.291	463
21.316	491	21.341	463
21.367	486	21.393	464
21.417	480	21.443	463
21.468	471	21.494	464
21.519	463	21.544	464
21.570	453	21.595	463
21.620	443	21.645	463
21.671	434	21.697	463
21.721	425	21.747	463
21.772	419	21.798	463
21.823	414	21.848	462
21.874	410	21.899	463
21.924	409	21.950	462
21.975	410	22.001	462
22.025	412	22.051	462
22.077	417	22.102	462
22.127	424	22.152	461
22.178	431	22.204	462
22.228	439	22.254	462
22.279	448	22.305	462
22.330	458	22.355	462
22.381	467	22.406	462
22.431	475	22.456	462
22.482	482	22.508	463
22.532	487	22.558	463
22.583	491	22.609	464
22.634	492	22.659	463
22.685	492	22.710	463
22.735	489	22.761	463
22.786	484	22.812	463
22.836	479	22.862	463
22.888	470	22.913	464
22.938	462	22.963	463
22.989	453	23.015	463
23.039	443	23.065	463
23.090	435	23.116	463
23.141	427	23.166	462
23.192	421	23.217	462
23.242	416	23.267	462
23.293	412	23.319	462
23.343	412	23.369	462
23.394	412	23.420	462
23.445	415	23.470	462
23.496	420	23.521	462
23.546	426	23.572	461
23.597	433	23.623	461
23.647	441	23.673	462
23.699	449	23.724	463
23.749	459	23.774	462
23.800	466	23.826	462
23.850	474	23.876	463
23.901	481	23.927	463
23.952	485	23.977	463
24.003	489	24.028	463
24.053	490	24.079	464
24.104	489	24.130	464
24.154	487	24.180	463
24.205	483	24.231	463
24.256	477	24.281	463
24.307	469	24.332	462
24.358	461	24.383	464
24.408	453	24.434	463
24.459	445	24.484	462
24.510	437	24.535	463
24.561	430	24.585	462
24.611	424	24.637	462
24.662	419	24.687	462
24.712	416	24.738	462
24.764	416	24.788	461
24.814	416	24.839	462
24.865	418	24.890	462
24.915	423	24.941	462
24.966	428	24.991	462
