#Creator: pendulumviewEventBuffer
#Creation time: Wed Feb 22 15:33:09 2017
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
13.206	499	13.230	436
13.256	529	13.281	392
13.307	553	13.331	353
13.357	574	13.383	320
13.408	586	13.433	295
13.458	593	13.484	279
13.510	591	13.534	276
13.560	580	13.585	282
13.611	564	13.636	298
13.661	541	13.687	323
13.712	514	13.737	356
13.763	483	13.788	396
13.814	450	13.838	439
13.864	418	13.890	483
13.915	386	13.940	527
13.965	358	13.991	568
14.017	335	14.041	603
14.067	318	14.092	633
14.118	309	14.142	651
14.168	307	14.194	662
14.219	312	14.244	661
14.269	325	14.295	651
14.321	344	14.345	633
14.371	370	14.396	606
14.422	399	14.447	572
14.472	431	14.498	533
14.523	464	14.548	489
14.574	497	14.599	445
14.625	528	14.649	404
14.675	554	14.701	364
14.726	575	14.751	331
14.776	588	14.802	305
14.828	594	14.852	289
14.878	594	14.903	284
14.929	585	14.953	288
14.979	569	15.005	301
15.030	546	15.055	324
15.080	518	15.106	355
15.132	487	15.156	392
15.182	453	15.207	432
15.233	420	15.258	475
15.283	388	15.309	517
15.334	359	15.359	557
15.385	335	15.410	592
15.436	317	15.460	622
15.486	306	15.512	642
15.537	304	15.562	653
15.587	308	15.613	654
15.639	321	15.663	647
15.689	340	15.714	630
15.740	365	15.764	606
15.790	395	15.816	574
15.841	427	15.867	537
15.891	461	15.917	497
15.943	495	15.968	454
15.993	526	16.018	413
16.044	553	16.070	375
16.094	576	16.120	343
16.145	590	16.171	316
16.196	598	16.221	300
16.247	598	16.272	293
16.297	589	16.323	295
16.348	574	16.374	305
16.398	551	16.424	326
16.450	523	16.475	355
16.500	491	16.525	389
16.551	458	16.577	428
16.601	423	16.627	468
16.652	390	16.678	508
16.702	360	16.728	547
16.754	335	16.779	582
16.804	316	16.829	611
16.855	305	16.881	632
16.905	301	16.931	644
16.956	304	16.982	647
17.007	316	17.032	641
17.058	335	17.083	627
17.108	360	17.134	605
17.159	389	17.185	575
17.209	422	17.235	540
17.261	457	17.286	501
17.311	491	17.336	462
17.362	524	17.388	422
17.412	552	17.438	385
17.463	575	17.489	353
17.513	592	17.539	327
17.565	600	17.590	310
17.615	601	17.640	301
17.666	594	17.692	302
17.716	579	17.742	311
17.767	557	17.793	330
17.818	529	17.843	355
17.869	497	17.894	388
17.919	463	17.945	424
17.970	428	17.996	462
18.020	394	18.046	502
18.072	363	18.097	539
18.122	337	18.147	573
18.173	316	18.199	601
18.223	303	18.249	622
18.274	298	18.300	635
18.324	301	18.350	639
18.376	312	18.401	635
18.426	329	18.451	622
18.477	354	18.503	603
18.527	383	18.553	574
18.578	416	18.604	542
18.629	451	18.654	506
18.680	487	18.705	467
18.730	520	18.756	429
18.781	550	18.807	393
18.831	574	18.857	362
18.883	593	18.908	336
18.933	602	18.958	319
18.984	604	19.010	310
19.034	598	19.060	309
19.085	584	19.111	317
19.135	562	19.161	334
19.187	536	19.212	358
19.237	503	19.262	388
19.288	469	19.314	423
19.338	433	19.364	459
19.389	399	19.415	496
19.440	367	19.465	533
19.491	339	19.516	565
19.542	318	19.567	593
19.592	302	19.618	614
19.643	296	19.668	627
19.694	297	19.719	632
19.745	307	19.769	629
19.795	324	19.821	618
19.846	348	19.871	599
19.896	376	19.922	573
19.948	409	19.972	542
19.998	445	20.023	507
