#Creator: pendulumviewEventBuffer
#Creation time: Wed Feb 22 15:33:09 2017
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
13.205	393	13.230	463
13.256	375	13.280	463
13.306	362	13.332	463
13.357	354	13.382	464
13.407	351	13.433	463
13.459	354	13.483	464
13.509	364	13.534	463
13.560	377	13.585	464
13.610	396	13.636	464
13.661	419	13.686	464
13.711	443	13.737	465
13.763	468	13.787	465
13.813	494	13.838	465
13.864	518	13.889	465
13.914	540	13.940	465
13.965	558	13.990	466
14.016	571	14.041	465
14.067	578	14.091	464
14.117	581	14.143	465
14.168	577	14.193	465
14.218	568	14.244	465
14.270	554	14.294	464
14.320	535	14.345	465
14.371	513	14.396	465
14.421	488	14.447	465
14.472	462	14.498	464
14.522	437	14.548	464
14.574	414	14.599	464
14.624	392	14.649	464
14.675	375	14.701	464
14.725	363	14.751	464
14.776	355	14.802	464
14.827	353	14.852	464
14.878	356	14.903	464
14.928	366	14.954	464
14.979	381	15.005	464
