#Creator: pendulumviewEventBuffer
#Creation time: Wed Feb 22 15:33:09 2017
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
13.204	465	13.230	464
13.256	466	13.281	464
13.306	465	13.331	465
13.357	466	13.383	464
13.407	465	13.433	464
13.458	465	13.484	465
13.508	466	13.534	464
13.560	465	13.585	464
13.610	465	13.635	464
13.661	465	13.687	465
13.711	465	13.737	464
13.762	465	13.788	464
13.813	465	13.838	464
13.864	466	13.889	465
13.914	465	13.940	465
13.965	465	13.991	465
14.015	465	14.041	465
14.067	465	14.092	465
14.117	466	14.142	465
14.168	465	14.194	465
14.218	465	14.244	465
14.269	465	14.295	465
14.319	465	14.345	465
14.371	466	14.396	464
14.421	465	14.446	465
14.472	465	14.498	464
14.522	465	14.548	464
14.573	466	14.599	464
14.624	465	14.649	464
14.675	465	14.700	464
14.725	465	14.751	464
14.776	465	14.802	464
14.826	466	14.852	465
14.878	466	14.903	464
14.928	466	14.953	465
14.979	466	15.005	465
15.029	466	15.055	465
15.080	465	15.106	465
15.130	465	15.156	465
15.182	465	15.207	465
